,Player,SAVID,FGID,Team,Level,Age,K%,BB%,Brl%,Solid%,Flare%,Under%,Topped%,Weak%,BrlHR,Brl3B,Brl2B,Brl1B,BrlBABIP,BrlOut,SolidHR,Solid3B,Solid2B,Solid1B,SolidBABIP,SolidOut,FlareHR,Flare3B,Flare2B,Flare1B,FlareBABIP,FlareOut,UnderHR,Under3B,Under2B,Under1B,UnderBABIP,UnderOut,ToppedHR,Topped3B,Topped2B,Topped1B,ToppedBABIP,ToppedOut,WeakHR,Weak3B,Weak2B,Weak1B,WeakBABIP,WeakOut,SBAtt%,SBSuccess%,PPA,HBPRate,SplitK_R,SplitK_L,SplitBB_R,SplitBB_L,SplitBrl_R,SplitBrl_L,SplitSolid_R,SplitSolid_L,SplitFlare_R,SplitFlare_L,SplitTopped_R,SplitTopped_L,SplitUnder_R,SplitUnder_L,SplitWeak_R,SplitWeak_L
0,Taylor Ward,621493,17548,LAA,MLB,31.4,0.233,0.091,0.119,0.063,0.231,0.29,0.274,0.022,0.459,0.026,0.204,0.006,0.695,0.30500000000000005,0.07,0.016,0.206,0.115,0.407,0.593,0.0,0.005,0.095,0.565,0.665,0.33499999999999996,0.006,0.002,0.025,0.033,0.066,0.9339999999999999,0.0,0.0,0.018,0.156,0.174,0.8260000000000001,0.0,0.0,0.002,0.214,0.216,0.784,0.06870829694323144,0.6736842105263158,3.9091698923231832,0.013429752066115703,1.0354999999999999,0.9025,0.9415,1.0150000000000001,1.037,0.9764999999999999,1.053,0.911,0.9624999999999999,1.088,0.9984999999999999,1.0015,1.0165,0.9615,0.938,1.0405
1,Luis Rengifo,650859,19858,LAA,MLB,28.2,0.158,0.069,0.047,0.051,0.265,0.225,0.379,0.032,0.594,0.005,0.108,0.0,0.707,0.29300000000000004,0.071,0.023,0.227,0.102,0.423,0.577,0.0,0.008,0.093,0.56,0.661,0.33899999999999997,0.007,0.002,0.027,0.035,0.071,0.929,0.0,0.002,0.016,0.172,0.19,0.81,0.0,0.0,0.008,0.126,0.134,0.866,0.24133846153846156,0.75,3.9091698923231832,0.011500547645125958,1.0034999999999998,0.9325,1.091,0.9285,0.9470000000000001,1.254,1.017,1.073,1.0215,0.982,0.983,0.944,1.023,1.0295,0.9125,0.9159999999999999
2,Mike Trout,545361,10155,LAA,MLB,33.7,0.269,0.116,0.164,0.068,0.239,0.287,0.196,0.046,0.589,0.035,0.132,0.002,0.758,0.242,0.076,0.016,0.209,0.118,0.419,0.581,0.0,0.007,0.098,0.545,0.65,0.35,0.005,0.004,0.03,0.033,0.072,0.928,0.0,0.0,0.014,0.183,0.197,0.8029999999999999,0.0,0.001,0.002,0.217,0.22,0.78,0.1095196261682243,0.8250000000000001,3.9091698923231832,0.017736486486486486,1.021,0.9430000000000001,0.9279999999999999,1.0565,1.061,0.901,1.0725,0.8465,0.9545,1.117,0.976,1.0695,1.007,0.986,0.9299999999999999,1.0725
3,Jorge Soler,624585,14221,LAA,MLB,33.2,0.256,0.111,0.139,0.076,0.214,0.275,0.258,0.039,0.519,0.0,0.19,0.029,0.738,0.262,0.081,0.016,0.228,0.127,0.452,0.548,0.0,0.007,0.092,0.549,0.648,0.352,0.006,0.002,0.023,0.026,0.057,0.943,0.0,0.0,0.011,0.117,0.128,0.872,0.0,0.0,0.002,0.145,0.147,0.853,0.02710593607305936,0.95,3.9091698923231832,0.0125,1.0145,0.962,0.9105000000000001,1.109,0.954,1.224,0.9884999999999999,1.0955,1.0075,0.958,1.0415,0.872,0.98,1.0675,1.0165,0.8125
4,Logan O'Hoppe,681351,24729,LAA,MLB,25.2,0.286,0.062,0.133,0.068,0.256,0.247,0.262,0.033,0.526,0.0,0.121,0.041,0.687,0.31299999999999994,0.064,0.023,0.197,0.148,0.432,0.5680000000000001,0.0,0.005,0.087,0.56,0.652,0.348,0.007,0.002,0.032,0.029,0.07,0.9299999999999999,0.0,0.0,0.005,0.154,0.159,0.841,0.0,0.0,0.0,0.143,0.143,0.857,0.052741176470588236,0.48125,3.9091698923231832,0.018971848225214197,1.016,0.964,0.896,0.994,1.02,1.099,1.021,1.054,0.981,1.023,1.016,0.953,0.995,1.027,0.964,0.841
5,Nolan Schanuel,694384,33189,LAA,MLB,23.2,0.164,0.114,0.045,0.046,0.294,0.224,0.35,0.04,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.005,0.088,0.571,0.664,0.33599999999999997,0.005,0.002,0.03,0.025,0.062,0.938,0.0,0.0,0.008,0.14,0.148,0.852,0.0,0.0,0.002,0.136,0.138,0.862,0.08110268199233717,0.8250000000000001,3.9091698923231832,0.016317016317016316,0.968,1.051,1.129,0.982,1.06,0.821,1.071,0.854,1.019,0.977,0.94,1.091,1.059,0.919,0.821,1.374
6,Kyren Paris,677347,26420,LAA,MLB,23.4,0.301,0.098,0.085,0.055,0.279,0.196,0.317,0.069,0.47,0.0,0.17,0.0,0.69,0.31000000000000005,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.007,0.099,0.552,0.658,0.34199999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.181,0.181,0.819,0.0,0.0,0.0,0.19,0.19,0.81,0.2974859504132231,0.8705882352941177,3.9091698923231832,0.019664967225054626,1.016,0.964,0.896,0.994,1.02,1.099,1.021,1.054,0.981,1.023,1.016,0.953,0.995,1.027,0.964,0.841
7,Jo Adell,666176,20220,LAA,MLB,26.0,0.292,0.073,0.103,0.058,0.207,0.27,0.314,0.047,0.51,0.01,0.181,0.0,0.702,0.29800000000000004,0.068,0.028,0.228,0.129,0.453,0.5469999999999999,0.0,0.017,0.1,0.551,0.668,0.33199999999999996,0.005,0.002,0.02,0.033,0.06,0.94,0.0,0.0,0.015,0.153,0.168,0.832,0.0,0.0,0.002,0.195,0.197,0.8029999999999999,0.23798181818181818,0.7425531914893617,3.9091698923231832,0.01589041095890411,1.0285,0.9315,1.024,0.812,0.9750000000000001,1.123,1.031,0.984,0.984,1.025,1.02,0.951,0.9844999999999999,1.041,1.016,0.849
8,Tim Anderson,641313,15172,LAA,MLB,31.8,0.25,0.044,0.023,0.055,0.29,0.151,0.446,0.034,0.345,0.0,0.252,0.049,0.647,0.353,0.064,0.016,0.216,0.112,0.408,0.5920000000000001,0.0,0.007,0.085,0.57,0.662,0.33799999999999997,0.005,0.004,0.04,0.028,0.077,0.923,0.0,0.002,0.009,0.164,0.175,0.825,0.0,0.0,0.025,0.198,0.223,0.777,0.13408571428571428,0.7892857142857143,3.9091698923231832,0.004843918191603875,1.012,0.971,0.9530000000000001,0.9824999999999999,0.999,1.0815000000000001,1.0299999999999998,0.9705,0.9924999999999999,1.006,1.013,0.9624999999999999,0.9924999999999999,1.0274999999999999,0.959,0.9864999999999999
9,Travis d'Arnaud,518595,7739,LAA,MLB,36.2,0.26,0.069,0.101,0.078,0.218,0.223,0.345,0.035,0.51,0.0,0.202,0.0,0.711,0.28900000000000003,0.082,0.021,0.218,0.118,0.439,0.5609999999999999,0.0,0.005,0.107,0.543,0.655,0.345,0.006,0.002,0.034,0.026,0.068,0.9319999999999999,0.0,0.0,0.011,0.138,0.149,0.851,0.0,0.0,0.002,0.081,0.083,0.917,0.027880808080808082,0.95,3.9091698923231832,0.018772563176895306,1.0270000000000001,0.9159999999999999,0.8845000000000001,1.22,1.002,1.0779999999999998,1.0345,0.9430000000000001,0.971,1.08,0.9955,1.0195,1.0325,0.891,0.9884999999999999,0.8985
10,J.D. Davis,605204,16219,LAA,MLB,32.0,0.276,0.09,0.093,0.061,0.228,0.176,0.399,0.043,0.406,0.0,0.231,0.024,0.662,0.33799999999999997,0.075,0.016,0.22,0.13,0.441,0.5589999999999999,0.0,0.005,0.092,0.573,0.67,0.32999999999999996,0.005,0.01,0.023,0.029,0.067,0.933,0.0,0.003,0.02,0.163,0.186,0.8140000000000001,0.0,0.0,0.002,0.146,0.148,0.852,0.03324537815126051,0.575,3.9091698923231832,0.016835016835016835,0.9944999999999999,1.006,0.9259999999999999,1.036,0.998,1.0715,1.1244999999999998,0.817,0.9724999999999999,1.0445,1.0295,0.9375,0.9355,1.1280000000000001,1.0465,0.8025
11,Nicky Lopez,670032,19339,LAA,MLB,30.1,0.151,0.088,0.014,0.033,0.241,0.223,0.429,0.06,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.077,0.023,0.222,0.105,0.427,0.573,0.0,0.007,0.085,0.57,0.662,0.33799999999999997,0.005,0.005,0.031,0.03,0.071,0.929,0.0,0.001,0.015,0.177,0.193,0.8069999999999999,0.0,0.0,0.012,0.108,0.12,0.88,0.10238064516129032,0.6615384615384616,3.9091698923231832,0.010688836104513063,0.99,1.003,1.1175000000000002,0.8005,1.0550000000000002,0.8254999999999999,1.0765,0.7869999999999999,1.0074999999999998,0.996,0.967,1.056,1.0425,0.915,0.887,1.268
12,Kevin Newman,621028,17696,LAA,MLB,31.7,0.149,0.053,0.018,0.036,0.289,0.253,0.35,0.053,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.067,0.021,0.243,0.097,0.428,0.5720000000000001,0.0,0.006,0.106,0.537,0.649,0.351,0.007,0.003,0.026,0.026,0.062,0.938,0.0,0.0,0.011,0.145,0.156,0.844,0.0,0.0,0.002,0.198,0.2,0.8,0.1173609756097561,0.86,3.9091698923231832,0.006253908692933083,1.068,0.8755,0.9550000000000001,0.985,0.7375,1.509,0.9284999999999999,1.165,0.9884999999999999,1.015,1.032,0.9359999999999999,0.9784999999999999,1.0455,1.0615,0.7869999999999999
13,Yoan Moncada,660162,17232,LAA,MLB,29.9,0.294,0.072,0.087,0.067,0.261,0.24,0.316,0.029,0.37,0.004,0.31,0.045,0.728,0.272,0.078,0.016,0.224,0.118,0.436,0.5640000000000001,0.0,0.007,0.099,0.565,0.671,0.32899999999999996,0.005,0.004,0.033,0.028,0.07,0.9299999999999999,0.0,0.0,0.025,0.143,0.168,0.832,0.0,0.0,0.027,0.13,0.157,0.843,0.060825641025641024,0.8,3.9091698923231832,0.011472275334608031,0.9644999999999999,1.049,1.084,0.9299999999999999,1.0635,0.9259999999999999,1.0499999999999998,0.974,1.001,1.0425,0.951,1.047,1.0615,0.8955,0.8434999999999999,1.1675
14,Anthony Rendon,543685,12861,LAA,MLB,34.9,0.155,0.114,0.03,0.074,0.247,0.303,0.312,0.033,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.068,0.016,0.232,0.105,0.421,0.579,0.0,0.005,0.097,0.559,0.661,0.33899999999999997,0.01,0.002,0.024,0.026,0.062,0.938,0.0,0.0,0.014,0.121,0.135,0.865,0.0,0.0,0.0,0.14,0.14,0.86,0.08351681415929203,0.875,4.065040650406504,0.018867924528301886,1.0114999999999998,0.973,0.897,1.1324999999999998,0.8175,1.5835,1.0379999999999998,0.9515,0.984,1.029,1.006,0.9824999999999999,1.0235,0.941,1.0025,0.864
