,BatterName,batter,PA_flag,AB_flag,Is_Hit,PitchesThrown,SwungOn,ContactMade_Foul,IsStrikeout,IsWalk,IsHBP,IsBIP,IsGB,IsLD,IsFB,IsSingle,IsDouble,IsTriple,IsHomer,Cont%,Swing%,K%,BB%,AVG,OBP,SLG,Split,Statcast PC,Statcast BBE,GB%,LD%,FB%,SwtSpot%,Chase%,Brl%,EV 90,xwOBA,xBA
0,Aaron Judge,592450,110.0,94.0,39.0,444,192,132,23,14,2,71,28,17,22,24,7,1,7,0.6875,0.43243243243243246,0.20909090909090908,0.12727272727272726,0.4148936170212766,0.5,0.7340425531914894,All,444,71,0.39436619718309857,0.23943661971830985,0.30985915492957744,0.39436619718309857,0.18666666666666668,0.2535211267605634,110.42,0.4997598181818182,0.34779787234042553
1,Aaron Schunk,668845,11.0,10.0,3.0,38,29,21,3,0,0,8,1,3,3,2,1,0,0,0.7241379310344828,0.7631578947368421,0.2727272727272727,0.0,0.3,0.2727272727272727,0.4,All,38,8,0.125,0.375,0.375,0.625,0.6190476190476191,0.125,95.3,0.3021,0.27899999999999997
2,Adael Amador,691182,22.0,20.0,2.0,85,48,33,8,0,1,13,4,4,5,1,1,0,0,0.6875,0.5647058823529412,0.36363636363636365,0.0,0.1,0.13636363636363635,0.15,All,85,13,0.3076923076923077,0.3076923076923077,0.38461538461538464,0.46153846153846156,0.2727272727272727,0.0,100.34,0.2127864761904762,0.18976190476190477
3,Adam Frazier,624428,80.0,72.0,16.0,295,139,119,13,6,1,60,27,15,15,12,3,0,1,0.8561151079136691,0.4711864406779661,0.1625,0.075,0.2222222222222222,0.2875,0.3055555555555556,All,295,60,0.45,0.25,0.25,0.31666666666666665,0.2867132867132867,0.0,95.98,0.27025533749999997,0.23720547945205478
4,Addison Barger,680718,16.0,15.0,1.0,64,34,25,4,1,0,11,4,1,5,0,1,0,0,0.7352941176470589,0.53125,0.25,0.0625,0.06666666666666667,0.125,0.13333333333333333,All,64,11,0.36363636363636365,0.09090909090909091,0.45454545454545453,0.2727272727272727,0.21212121212121213,0.0,104.74,0.198375,0.14566666666666667
5,Adley Rutschman,668939,96.0,84.0,18.0,396,140,118,15,12,0,69,24,17,25,12,2,0,4,0.8428571428571429,0.35353535353535354,0.15625,0.125,0.21428571428571427,0.3125,0.38095238095238093,All,396,69,0.34782608695652173,0.2463768115942029,0.36231884057971014,0.391304347826087,0.18840579710144928,0.11594202898550725,104.16000000000003,0.38553125000000005,0.2836309523809524
6,Adolis Garcia,666969,92.0,83.0,18.0,328,195,136,19,5,3,65,19,9,32,8,6,0,4,0.6974358974358974,0.5945121951219512,0.20652173913043478,0.05434782608695652,0.21686746987951808,0.2826086956521739,0.43373493975903615,All,328,65,0.2923076923076923,0.13846153846153847,0.49230769230769234,0.4,0.44508670520231214,0.2,103.28,0.38088084782608694,0.26333333333333336
7,Agustin Ramirez,682663,8.0,6.0,5.0,26,14,13,0,2,0,6,2,4,0,2,3,0,0,0.9285714285714286,0.5384615384615384,0.0,0.25,0.8333333333333334,0.875,1.3333333333333333,All,26,6,0.3333333333333333,0.6666666666666666,0.0,0.5,0.3333333333333333,0.16666666666666666,110.03,0.555125,0.47983333333333333
8,Alan Roden,702176,71.0,61.0,13.0,264,126,98,14,5,3,49,27,7,9,9,3,0,1,0.7777777777777778,0.4772727272727273,0.19718309859154928,0.07042253521126761,0.21311475409836064,0.29577464788732394,0.3114754098360656,All,264,49,0.5510204081632653,0.14285714285714285,0.1836734693877551,0.20408163265306123,0.3357142857142857,0.02040816326530612,104.22,0.22604949295774646,0.15176190476190476
9,Alec Bohm,664761,103.0,100.0,23.0,369,180,155,18,1,2,82,42,20,17,18,4,1,0,0.8611111111111112,0.4878048780487805,0.17475728155339806,0.009708737864077669,0.23,0.2524271844660194,0.29,All,369,82,0.5121951219512195,0.24390243902439024,0.2073170731707317,0.3170731707317073,0.27485380116959063,0.08536585365853659,103.06,0.3015633106796117,0.27226
