,Player,Team,SAVID,$,PA,PA 600,AB,R,HR,RBI,SB,AVG,OBP,SLG,K,BB,H,FPts,Proj Rank,ADP,ADP Rank,Rank Diff
0,Shohei Ohtani,LAD,660271.0,18.89,680.0,600,510,110,39,85,24,0.283,0.386,0.595,137,83,143,1461,1.0,1.3820224719101124,1.0,0.0
1,Aaron Judge,NYY,592450.0,19.43,632.0,600,478,102,43,94,7,0.279,0.421,0.613,155,114,133,1406,2.0,3.039325842696629,3.0,-1.0
2,Elly De La Cruz,CIN,682829.0,17.33,642.0,600,533,86,27,83,43,0.251,0.331,0.47,183,60,133,1332,6.0,4.550561797752809,4.0,2.0
3,Bobby Witt Jr.,KC,677951.0,17.63,651.0,600,544,97,31,85,21,0.305,0.365,0.568,98,47,165,1389,3.0,1.7134831460674158,2.0,1.0
4,Juan Soto,NYM,665742.0,16.5,658.0,600,482,98,34,84,7,0.289,0.423,0.569,106,112,139,1330,7.0,7.5,7.0,0.0
5,Corbin Carroll,ARI,682998.0,14.07,652.0,600,527,94,21,67,28,0.255,0.343,0.454,115,61,134,1234,15.0,9.865168539325843,9.0,6.0
6,Ronald Acuna Jr.,ATL,660670.0,17.53,575.0,600,523,105,25,83,22,0.296,0.381,0.507,94,63,155,1340,5.0,28.168539325842698,24.0,-19.0
7,Jose Ramirez,CLE,608070.0,13.94,647.0,600,530,88,23,81,31,0.271,0.352,0.475,76,63,143,1281,10.0,5.106741573033708,5.0,5.0
8,Yordan Alvarez,HOU,670541.0,16.54,596.0,600,514,90,32,97,6,0.287,0.385,0.545,101,73,147,1317,8.0,16.348314606741575,15.0,-7.0
9,Julio Rodriguez,SEA,677594.0,14.38,633.0,600,546,87,27,79,16,0.268,0.329,0.475,146,43,146,1197,23.0,14.157303370786517,13.0,10.0
10,Francisco Lindor,NYM,596019.0,14.37,664.0,600,536,92,28,71,19,0.269,0.343,0.488,116,52,144,1224,16.0,14.48314606741573,14.0,2.0
11,Gunnar Henderson,BAL,683002.0,15.46,639.0,600,531,92,30,83,14,0.273,0.352,0.514,138,62,145,1253,12.0,6.235955056179775,6.0,6.0
12,Fernando Tatis Jr.,SD,665487.0,15.01,612.0,600,544,91,29,80,13,0.273,0.337,0.495,132,49,149,1212,19.5,10.735955056179776,10.0,9.5
13,Kyle Tucker,CHC,663656.0,14.66,616.0,600,511,84,28,85,13,0.282,0.385,0.518,92,84,144,1265,11.0,8.00561797752809,8.0,3.0
14,Jackson Chourio,MIL,694192.0,13.67,632.0,600,553,92,23,67,22,0.268,0.322,0.455,125,41,148,1174,30.0,17.3876404494382,16.0,14.0
15,Jackson Merrill,SD,701538.0,14.25,617.0,600,564,77,28,86,14,0.289,0.327,0.514,104,32,163,1219,18.0,27.640449438202246,23.0,-5.0
16,Teoscar Hernandez,LAD,606192.0,14.76,619.0,600,544,83,29,96,7,0.248,0.314,0.468,177,45,134,1160,41.0,60.63483146067416,40.0,1.0
17,Vladimir Guerrero Jr.,TOR,665489.0,12.78,659.0,600,527,91,29,85,3,0.292,0.373,0.519,90,64,153,1221,17.0,13.702247191011235,12.0,5.0
18,Mookie Betts,LAD,605141.0,14.53,646.0,600,518,95,24,80,14,0.281,0.376,0.493,86,73,145,1252,13.0,11.348314606741573,11.0,2.0
19,Jarren Duran,BOS,680776.0,11.96,638.0,600,549,89,16,65,22,0.271,0.33,0.458,135,44,148,1163,38.5,21.707865168539325,18.0,20.5
20,Michael Harris II,ATL,671739.0,14.35,571.0,600,557,81,27,86,13,0.287,0.333,0.498,116,33,159,1212,19.5,40.96629213483146,31.0,-11.5
21,Ketel Marte,ARI,606466.0,12.19,608.0,600,525,90,25,77,6,0.275,0.362,0.492,107,66,145,1182,26.0,29.06741573033708,26.0,0.0
22,Lawrence Butler,OAK,671732.0,13.21,591.0,600,554,87,26,68,19,0.255,0.309,0.462,145,42,141,1171,32.0,64.64492753623189,47.5,-15.5
26,Brent Rooker,OAK,667670.0,12.7,604.0,600,529,89,32,80,9,0.248,0.332,0.492,176,57,132,1178,27.0,61.60144927536232,43.5,-16.5
30,Oneil Cruz,PIT,665833.0,13.65,601.0,600,542,79,24,85,21,0.246,0.315,0.45,177,52,133,1167,36.0,39.35955056179776,30.0,6.0
31,Anthony Santander,TOR,623993.0,12.25,632.0,600,538,77,28,85,3,0.243,0.317,0.464,127,52,131,1103,79.5,86.6,62.5,17.0
35,Pete Alonso,NYM,624413.0,11.13,647.0,600,520,79,30,87,3,0.237,0.335,0.463,142,64,123,1128,52.0,45.752808988764045,34.0,18.0
36,Matt Olson,ATL,621566.0,10.85,653.0,600,519,80,28,86,2,0.251,0.348,0.473,144,73,130,1140,49.5,32.48876404494382,27.0,22.5
37,Marcell Ozuna,ATL,542303.0,11.76,608.0,600,533,78,30,91,2,0.271,0.347,0.5,148,61,144,1168,35.0,66.41011235955057,50.0,-15.0
38,Jazz Chisholm,NYY,665862.0,12.05,593.0,600,543,77,24,82,27,0.234,0.304,0.418,156,50,127,1163,38.5,23.140449438202246,19.0,19.5
39,William Contreras,MIL,661388.0,12.32,615.0,600,526,78,23,82,9,0.268,0.354,0.462,123,67,141,1141,47.5,25.707865168539325,22.0,25.5
