,Pitcher,Team,FGID,SAVID,TBF,IP,GS,H,R,W,QS,SV,ER,HR,HR/9,K%,K/9,K,BB,BB/9,BB%,HBP,1B,2B,3B,ERA,WHIP,GB%,LD%,FB%,FB,GB,LD,Unnamed: 0,System,ADP,xMLBAMID,L,G,HLD,BS,IBB,K/BB,K-BB%,AVG,BABIP,LOB%,FIP,MLBID,$,Deep $
0,Logan Webb,SF,17995,657277.0,819.0,193.8,31.0,180.16,82.45,12.0,19.9,0.0,76.0,18.0,0.8,0.224,8.5,183.0,43.0,2.0,0.053,5.0,124.2,34.96,3.0,3.53,1.15,0.581,0.217,0.171,127.79150000000001,299.76149999999996,135.5005,,,,,,,,,,,,,,,,,12.33,9.12
1,Logan Gilbert,SEA,22250,669302.0,784.0,191.3,31.0,159.56,80.50999999999999,11.0,17.1,0.0,74.0,25.0,1.2,0.251,9.3,197.0,40.0,1.9,0.051,4.0,101.2,30.360000000000003,3.0,3.48,1.04,0.422,0.243,0.266,143.86100000000002,233.022,132.10049999999998,,,,,,,,,,,,,,,,,14.41,10.42
2,Zack Wheeler,PHI,10310,554430.0,785.0,189.3,31.0,161.0,79.53999999999999,14.0,20.0,0.0,73.0,20.0,1.0,0.279,10.4,219.0,44.0,2.1,0.056,9.0,105.80000000000001,32.2,3.0,3.47,1.08,0.423,0.244,0.264,136.764,222.63299999999998,126.324,,,,,,,,,,,,,,,,,14.9,10.66
3,Kevin Gausman,TOR,14107,592332.0,771.0,187.9,31.0,148.04000000000002,74.69,13.0,18.5,0.0,69.0,19.0,0.9,0.275,10.2,212.0,48.0,2.3,0.062,2.0,96.60000000000001,29.44,3.0,3.3,1.04,0.418,0.243,0.268,134.904,216.664,123.4065,,,,,,,,,,,,,,,,,16.1,11.49
4,Corbin Burnes,ARI,19361,669203.0,772.0,186.3,30.0,150.95999999999998,78.57,13.0,18.2,0.0,73.0,20.0,1.0,0.284,10.6,219.0,51.0,2.5,0.066,8.0,98.44,28.52,4.0,3.53,1.08,0.466,0.241,0.235,124.245,224.89600000000002,120.731,,,,,,,,,,,,,,,,,14.28,10.25
5,Jose Berrios,TOR,14168,621244.0,792.0,186.2,31.0,172.68,91.17999999999999,12.0,17.9,0.0,84.0,29.0,1.4,0.223,8.6,177.0,49.0,2.4,0.062,11.0,108.56,33.120000000000005,2.0,4.06,1.19,0.428,0.243,0.262,147.726,242.814,136.689,,,,,,,,,,,,,,,,,8.58,6.63
6,Seth Lugo,KC,12447,607625.0,778.0,186.0,30.0,160.0,79.53999999999999,13.0,18.5,0.0,73.0,19.0,0.9,0.234,8.8,182.0,47.0,2.3,0.061,7.0,104.88000000000001,33.120000000000005,3.0,3.53,1.11,0.465,0.241,0.235,135.8775,245.6775,132.0345,,,,,,,,,,,,,,,,,13.0,9.55
7,Pablo Lopez,MIN,17085,641154.0,775.0,185.4,31.0,160.48000000000002,83.42,12.0,16.6,0.0,77.0,25.0,1.2,0.264,10.0,205.0,47.0,2.3,0.061,8.0,102.12,30.360000000000003,3.0,3.74,1.12,0.435,0.242,0.257,135.1955,226.1975,126.04299999999999,,,,,,,,,,,,,,,,,12.02,8.81
8,Aaron Nola,PHI,16149,605400.0,767.0,184.8,30.0,161.56,83.42,13.0,18.3,0.0,77.0,27.0,1.3,0.27,10.1,207.0,39.0,1.9,0.051,4.0,99.36,32.2,3.0,3.75,1.09,0.436,0.242,0.256,134.418,225.593,125.56099999999999,,,,,,,,,,,,,,,,,12.93,9.39
9,Tarik Skubal,DET,22267,669373.0,747.0,182.3,30.0,146.2,73.72,10.0,14.3,0.0,68.0,19.0,0.9,0.279,10.3,208.0,44.0,2.2,0.059,6.0,95.68,28.52,3.0,3.36,1.04,0.459,0.239,0.242,124.245,220.0275,118.5525,,,,,,,,,,,,,,,,,14.77,10.64
10,Dylan Cease,SD,18525,656302.0,761.0,181.0,31.0,135.92000000000002,75.66,12.0,15.0,0.0,70.0,17.0,0.8,0.297,11.2,226.0,72.0,3.6,0.095,5.0,89.24000000000001,26.68,3.0,3.48,1.15,0.403,0.243,0.277,124.31550000000001,192.8395,111.8145,,,,,,,,,,,,,,,,,13.29,9.6
11,Framber Valdez,HOU,17295,664285.0,767.0,179.7,29.0,154.56,82.45,13.0,19.2,0.0,76.0,20.0,1.0,0.243,9.3,186.0,62.0,3.1,0.081,9.0,103.04,28.52,3.0,3.81,1.21,0.611,0.205,0.153,107.1735,270.1395,115.47749999999999,,,,,,,,,,,,,,,,,10.14,7.64
12,Luis Castillo,SEA,15689,622491.0,751.0,178.1,30.0,149.28,80.50999999999999,11.0,16.5,0.0,74.0,24.0,1.2,0.257,9.8,193.0,56.0,2.8,0.074,6.0,94.76,28.52,2.0,3.74,1.15,0.409,0.244,0.273,133.78300000000002,210.589,121.484,,,,,,,,,,,,,,,,,10.91,8.14
13,Paul Skenes,PIT,33677,694973.0,715.0,176.6,30.0,131.24,67.89999999999999,10.0,14.9,0.0,63.0,17.0,0.9,0.331,12.1,237.0,44.0,2.2,0.062,8.0,86.48,25.76,2.0,3.21,0.99,0.498,0.234,0.215,103.07499999999999,201.37599999999998,102.85799999999999,,,,,,,,,,,,,,,,,16.92,11.95
14,Cole Ragans,KC,21846,666142.0,742.0,175.1,30.0,138.84,76.63,10.0,12.2,0.0,71.0,18.0,0.9,0.273,10.4,203.0,68.0,3.5,0.091,5.0,90.16000000000001,26.68,4.0,3.65,1.18,0.413,0.244,0.27,124.81500000000001,198.5265,113.982,,,,,,,,,,,,,,,,,10.83,8.07
15,Mitch Keller,PIT,17594,656605.0,759.0,174.8,30.0,164.0,87.3,9.0,14.3,0.0,81.0,22.0,1.1,0.22,8.6,167.0,58.0,3.0,0.077,13.0,105.80000000000001,32.2,4.0,4.17,1.27,0.468,0.239,0.234,131.898,239.76600000000002,127.893,,,,,,,,,,,,,,,,,5.94,4.95
16,Tanner Houck,BOS,19879,656557.0,742.0,174.2,28.0,153.24,77.6,10.0,11.3,0.0,72.0,16.0,0.8,0.229,8.8,170.0,54.0,2.8,0.073,14.0,103.96000000000001,31.28,2.0,3.72,1.19,0.543,0.228,0.192,117.068,252.00700000000003,121.21199999999999,,,,,,,,,,,,,,,,,9.6,7.36
17,Sandy Alcantara,MIA,18684,645261.0,740.0,173.8,28.0,163.84,80.50999999999999,11.0,22.2,0.0,74.0,20.0,1.0,0.225,8.6,166.0,43.0,2.2,0.058,6.0,105.80000000000001,34.04,4.0,3.83,1.19,0.522,0.226,0.205,123.4575,252.756,123.723,,,,,,,,,,,,,,,,,9.28,7.16
