,Pitcher,Team,$,GS,IP,IP 180,K,ERA,WHIP,W,H,ER,FPts,Proj Rank,ADP,ADP Rank,Rank Diff
146,Jacob deGrom,TEX,21.28,22.0,129.1,180,290,2.5,0.73,12,110,50,738.67,1.0,45.6123595505618,10.0,-9.0
16,Paul Skenes,PIT,20.46,30.0,176.6,180,241,3.2,0.98,10,133,64,680.35,2.0,12.376404494382022,2.0,0.0
3,Kevin Gausman,TOR,18.94,31.0,187.9,180,203,3.3,1.03,12,141,66,631.98,3.0,171.42696629213484,48.0,-45.0
2,Zack Wheeler,PHI,18.89,31.0,189.3,180,208,3.45,1.08,13,153,69,634.12,4.0,21.629213483146067,4.0,0.0
10,Dylan Cease,SD,18.81,31.0,181.0,180,224,3.45,1.14,11,135,69,634.65,5.0,47.35955056179776,11.0,-6.0
4,Corbin Burnes,ARI,18.74,30.0,186.3,180,211,3.5,1.08,12,145,70,627.98,6.0,35.151685393258425,7.0,-1.0
9,Tarik Skubal,DET,18.47,30.0,182.3,180,205,3.35,1.04,9,144,67,606.38,7.0,15.179775280898877,3.0,4.0
1,Logan Gilbert,SEA,17.98,31.0,191.3,180,185,3.45,1.04,10,150,69,587.82,8.0,27.825842696629213,5.0,3.0
36,Carlos Rodon,NYY,17.94,29.0,168.0,180,222,3.5,1.06,11,135,70,607.2,9.0,142.54494382022472,40.0,-31.0
8,Aaron Nola,PHI,17.77,30.0,184.8,180,201,3.75,1.08,12,157,75,597.0,10.0,92.938202247191,22.0,-12.0
52,Chris Sale,ATL,17.69,28.0,161.9,180,225,3.5,1.04,13,145,70,607.48,11.0,40.13483146067416,8.0,3.0
63,Blake Snell,LAD,17.67,28.0,156.8,180,247,3.6,1.19,13,126,72,624.6,12.0,53.78089887640449,12.0,0.0
7,Pablo Lopez,MIN,17.58,31.0,185.4,180,199,3.7,1.11,11,155,74,586.35,13.0,69.75842696629213,17.0,-4.0
40,Freddy Peralta,MIL,17.42,30.0,167.5,180,227,3.8,1.14,10,140,76,590.48,14.0,108.38202247191012,31.0,-17.0
155,Spencer Strider,ATL,17.39,22.0,122.1,180,269,3.2,1.01,13,123,64,625.72,15.0,122.57303370786516,34.0,-19.0
124,Tyler Glasnow,LAD,17.26,23.0,135.2,180,247,3.15,1.02,14,130,63,617.2,16.0,94.50561797752808,24.0,-8.0
23,Michael King,SD,17.16,30.0,171.0,180,213,3.6,1.15,10,147,72,578.95,17.0,63.58988764044944,15.0,2.0
17,Cole Ragans,KC,17.12,30.0,175.1,180,208,3.6,1.17,10,142,72,576.37,18.0,43.08426966292135,9.0,9.0
69,Garrett Crochet,BOS,17.02,30.0,153.6,180,228,3.5,1.08,11,146,70,585.0,19.0,30.67977528089888,6.0,13.0
0,Logan Webb,SF,16.82,31.0,193.8,180,169,3.5,1.14,11,167,70,551.45,20.0,105.7247191011236,29.0,-9.0
6,Seth Lugo,KC,16.72,30.0,186.0,180,176,3.5,1.11,12,154,70,554.9,21.0,175.8314606741573,50.0,-29.0
12,Luis Castillo,SEA,16.64,30.0,178.1,180,195,3.7,1.14,11,150,74,559.52,22.0,96.1011235955056,25.0,-3.0
39,Sonny Gray,STL,16.53,28.0,167.6,180,198,3.4,1.12,10,148,68,553.5,23.0,124.1011235955056,36.0,-13.0
50,Reynaldo Lopez,ATL,16.18,30.0,163.7,180,201,3.5,1.13,13,147,70,558.72,24.0,163.75280898876406,45.0,-21.0
38,Zac Gallen,ARI,16.13,28.0,167.8,180,197,3.6,1.13,11,150,72,544.95,25.0,123.93258426966293,35.0,-10.0
64,Hunter Greene,CIN,16.11,26.0,156.8,180,225,3.95,1.17,10,139,79,549.8,26.0,99.9494382022472,27.0,-1.0
37,Bailey Ober,MIN,16.04,28.0,168.0,180,190,3.6,1.07,9,152,72,530.6,27.0,88.52247191011236,20.0,7.0
11,Framber Valdez,HOU,15.94,29.0,179.7,180,186,3.8,1.2,13,154,76,541.33,28.0,66.40449438202248,16.0,12.0
82,Robbie Ray,SF,15.86,27.0,149.3,180,225,3.75,1.14,12,145,75,555.52,29.0,172.48314606741573,49.0,-20.0
41,Spencer Schwellenbach,ATL,15.79,28.0,166.3,180,190,3.65,1.07,12,161,73,535.57,30.0,91.80337078651684,21.0,9.0
33,Tanner Bibee,CLE,15.75,29.0,168.5,180,190,3.65,1.12,10,149,73,528.32,31.0,105.48876404494382,28.0,3.0
65,Joe Ryan,MIN,15.7,27.0,156.4,180,203,3.65,1.07,10,150,73,532.5,32.0,106.63483146067416,30.0,2.0
77,Kodai Senga,NYM,15.57,26.0,152.0,180,229,3.9,1.26,13,142,78,556.2,33.0,153.2865168539326,43.0,-10.0
105,Jeffrey Springs,OAK,15.56,25.0,140.8,180,214,3.35,1.05,10,142,67,536.2,34.0,259.7971014492754,75.0,-41.0
83,Nick Pivetta,SD,15.46,27.0,148.6,180,215,3.65,1.14,10,143,73,532.95,35.0,214.74444444444444,60.0,-25.0
88,Shane McClanahan,TB,15.39,25.0,148.5,180,210,3.55,1.11,10,147,71,531.52,36.0,117.29775280898876,33.0,3.0
24,Bryce Miller,SEA,15.38,30.0,170.4,180,174,3.55,1.07,10,151,71,510.0,37.0,83.46067415730337,19.0,18.0
79,Yoshinobu Yamamoto,LAD,15.36,26.0,149.9,180,202,3.45,1.08,13,149,69,537.08,38.0,59.85955056179776,14.0,24.0
45,Hunter Brown,HOU,15.34,29.0,164.7,180,201,3.9,1.21,10,154,78,521.58,39.5,112.41011235955057,32.0,7.5
5,Jose Berrios,TOR,15.34,31.0,186.2,180,171,4.05,1.18,11,166,81,508.55,39.5,239.52808988764045,69.0,-29.5
47,Justin Steele,CHC,15.24,29.0,164.4,180,186,3.5,1.16,10,153,70,514.1,41.0,129.0,37.0,4.0
44,Max Fried,NYY,15.18,28.0,166.0,180,180,3.45,1.15,14,162,69,524.3,42.0,93.1685393258427,23.0,19.0
54,Taj Bradley,TB,15.17,28.0,159.7,180,208,4.05,1.19,9,152,81,518.53,43.0,204.3370786516854,56.0,-13.0
35,Shota Imanaga,CHC,15.07,28.0,168.0,180,180,3.75,1.12,10,159,75,505.6,44.0,76.12921348314607,18.0,26.0
19,Tanner Houck,BOS,15.06,28.0,174.2,180,175,3.7,1.18,10,158,74,497.75,45.0,228.24719101123597,62.0,-17.0
46,Yusei Kikuchi,LAA,14.87,30.0,164.6,180,204,4.25,1.24,10,160,85,510.35,46.0,166.75842696629215,46.0,0.0
34,Zach Eflin,BAL,14.81,28.0,168.2,180,169,3.6,1.09,11,170,72,495.85,47.0,188.85393258426967,53.0,-6.0
20,Sandy Alcantara,MIA,14.71,28.0,173.8,180,171,3.8,1.18,11,169,76,493.65,48.0,154.9494382022472,44.0,4.0
58,Jack Flaherty,DET,14.62,28.0,158.2,180,197,3.9,1.19,10,152,78,498.95,49.0,143.63392857142858,41.0,8.0
21,Chris Bassitt,TOR,14.51,30.0,173.5,180,176,4.05,1.21,12,164,81,489.78,50.0,348.2752808988764,99.0,-49.0
67,Jared Jones,PIT,14.5,27.0,154.7,180,201,3.95,1.2,8,158,79,490.28,51.0,146.36516853932585,42.0,9.0
51,MacKenzie Gore,WSH,14.48,30.0,162.9,180,194,3.95,1.27,9,152,79,491.52,52.0,212.82022471910116,59.0,-7.0
68,George Kirby,SEA,14.47,27.0,153.8,180,172,3.35,1.02,11,162,67,486.65,53.0,55.21348314606742,13.0,40.0
113,Brandon Woodruff,MIL,14.38,24.0,140.0,180,205,3.65,1.09,11,145,73,501.8,54.0,230.2022471910112,63.0,-9.0
74,Ryan Pepiot,TB,14.32,28.0,153.0,180,198,3.9,1.18,9,142,78,486.45,55.0,170.11797752808988,47.0,8.0
70,Charlie Morton,BAL,14.24,27.0,153.2,180,205,4.05,1.24,11,153,81,493.9,56.0,493.0344827586207,141.0,-85.0
55,Nathan Eovaldi,TEX,14.11,27.0,159.3,180,183,3.85,1.17,12,167,77,488.82,57.0,205.54494382022472,57.0,0.0
92,Clay Holmes,NYM,14.01,21.0,146.2,180,199,3.75,1.18,9,151,75,477.95,58.0,278.8426966292135,81.0,-23.0
18,Mitch Keller,PIT,13.96,30.0,174.8,180,171,4.15,1.26,9,168,83,461.3,59.0,293.03932584269666,82.0,-23.0
101,Nestor Cortes,MIL,13.92,22.0,142.3,180,187,3.5,1.06,10,146,70,477.77,60.0,276.5056179775281,79.0,-19.0
25,Luis Severino,OAK,13.76,30.0,170.1,180,174,4.15,1.25,10,165,83,464.32,61.0,304.8985507246377,86.0,-25.0
133,Roki Sasaki,LAD,13.75,23.0,133.7,180,218,3.9,1.21,13,145,78,499.02,62.0,96.4090909090909,26.0,36.0
98,Spencer Arrighetti,HOU,13.74,26.0,143.4,180,209,4.0,1.23,10,145,80,483.25,63.0,207.8314606741573,58.0,5.0
87,Sean Manaea,NYM,13.73,26.0,148.6,180,190,3.85,1.16,13,154,77,482.75,64.0,201.93258426966293,55.0,9.0
188,Max Scherzer,TOR,13.7,19.0,110.7,180,221,3.4,0.99,13,138,68,497.28,65.0,388.56060606060606,109.0,-44.0
93,Jesus Luzardo,PHI,13.66,25.0,145.9,180,199,3.9,1.22,11,153,78,479.88,66.0,271.41011235955057,78.0,-12.0
139,Yu Darvish,SD,13.55,23.0,132.2,180,193,3.45,1.05,12,145,69,475.85,67.0,235.2191011235955,65.0,2.0
48,Cristopher Sanchez,PHI,13.51,29.0,164.4,180,164,3.8,1.18,10,168,76,455.7,68.0,183.35393258426967,52.0,16.0
81,Brandon Pfaadt,ARI,13.3,25.0,149.7,180,177,3.8,1.13,12,161,76,462.03,69.0,191.98876404494385,54.0,15.0
