,player_name,pitcher,pitch_type,PC,%,Velo,SwStr%,Strike%,Ball%,GB%
0,A.J. Blubaugh,805123,CH,333,0.147,80.4,0.174,0.462,0.375,0.426
1,A.J. Blubaugh,805123,CU,144,0.064,78.0,0.139,0.396,0.438,0.375
2,A.J. Blubaugh,805123,FC,260,0.115,84.9,0.115,0.45,0.377,0.378
3,A.J. Blubaugh,805123,FF,1020,0.45,92.5,0.1,0.517,0.356,0.323
4,A.J. Blubaugh,805123,SL,116,0.051,78.0,0.069,0.371,0.457,0.55
5,A.J. Blubaugh,805123,ST,339,0.15,80.9,0.171,0.425,0.366,0.324
6,A.J. Minter,621345,CH,4,0.067,86.3,0.0,0.0,0.5,1.0
7,A.J. Minter,621345,FC,15,0.25,88.8,0.067,0.467,0.467,0.0
8,A.J. Minter,621345,FF,20,0.333,93.6,0.1,0.4,0.5,1.0
9,A.J. Puk,640462,FF,19,0.422,94.6,0.263,0.579,0.211,0.25
10,A.J. Puk,640462,SI,9,0.2,93.8,0.222,0.556,0.444,
11,A.J. Puk,640462,SL,9,0.2,88.6,0.667,0.778,0.111,1.0
12,A.J. Puk,640462,ST,8,0.178,81.2,0.25,0.375,0.5,1.0
13,A.J. Wilson,687954,FF,24,0.175,89.7,0.083,0.25,0.625,1.0
14,A.J. Wilson,687954,SL,113,0.825,82.2,0.142,0.504,0.398,0.182
15,AJ Smith-Shawver,700363,CH,365,0.243,83.6,0.216,0.436,0.422,0.365
16,AJ Smith-Shawver,700363,CU,127,0.084,76.6,0.087,0.386,0.496,0.333
17,AJ Smith-Shawver,700363,FF,786,0.522,95.0,0.122,0.531,0.312,0.266
18,AJ Smith-Shawver,700363,SL,195,0.13,85.2,0.164,0.451,0.405,0.286
19,Aaron Ashby,676879,CH,296,0.179,88.6,0.135,0.399,0.402,0.559
20,Aaron Ashby,676879,CU,310,0.188,79.6,0.097,0.448,0.416,0.619
21,Aaron Ashby,676879,FF,132,0.08,93.7,0.068,0.333,0.53,0.389
22,Aaron Ashby,676879,SI,604,0.365,93.9,0.046,0.406,0.422,0.577
23,Aaron Ashby,676879,SL,311,0.188,81.2,0.209,0.518,0.405,0.333
24,Aaron Brooks,605156,CH,145,0.14,84.4,0.131,0.338,0.441,0.438
25,Aaron Brooks,605156,FF,203,0.196,92.1,0.054,0.379,0.433,0.316
26,Aaron Brooks,605156,KC,47,0.045,80.2,0.064,0.426,0.447,0.333
27,Aaron Brooks,605156,SI,365,0.353,91.8,0.047,0.419,0.29,0.594
28,Aaron Brooks,605156,SL,275,0.266,85.3,0.215,0.498,0.327,0.375
29,Aaron Brown,676345,CH,76,0.04,79.6,0.132,0.434,0.368,0.333
30,Aaron Brown,676345,CU,62,0.033,78.9,0.048,0.452,0.306,0.6
31,Aaron Brown,676345,FC,37,0.02,86.8,0.054,0.243,0.432,0.333
32,Aaron Brown,676345,FF,146,0.077,91.1,0.11,0.514,0.363,0.111
33,Aaron Brown,676345,SI,5,0.003,92.3,0.0,0.4,0.6,
34,Aaron Brown,676345,SL,57,0.03,81.8,0.088,0.474,0.351,0.5
35,Aaron Hernandez,669443,FC,13,0.107,86.8,0.154,0.385,0.462,0.5
36,Aaron Hernandez,669443,FF,1,0.008,91.6,0.0,0.0,1.0,
37,Aaron Hernandez,669443,SI,29,0.238,92.6,0.069,0.379,0.483,0.5
38,Aaron Holiday,701569,CH,2,0.005,83.2,0.0,0.5,0.0,1.0
39,Aaron Holiday,701569,FC,80,0.208,87.5,0.112,0.438,0.4,0.615
40,Aaron Holiday,701569,FF,257,0.668,93.9,0.089,0.401,0.518,0.524
41,Aaron Holiday,701569,SL,11,0.029,83.4,0.0,0.182,0.636,0.5
42,Aaron McGarity,641849,CH,62,0.062,80.4,0.032,0.129,0.629,0.333
43,Aaron McGarity,641849,CU,72,0.072,76.4,0.125,0.417,0.431,0.273
44,Aaron McGarity,641849,FC,83,0.083,88.1,0.12,0.614,0.301,0.571
45,Aaron McGarity,641849,FF,398,0.399,89.5,0.121,0.54,0.286,0.536
46,Aaron McGarity,641849,SI,1,0.001,90.5,0.0,0.0,0.0,1.0
47,Aaron McGarity,641849,SL,188,0.189,81.5,0.09,0.484,0.324,0.472
48,Aaron McGarity,641849,ST,193,0.194,75.4,0.14,0.482,0.321,0.289
49,Aaron Munson,815317,CH,11,0.012,84.3,0.182,0.273,0.636,1.0
50,Aaron Munson,815317,CU,37,0.04,80.3,0.135,0.351,0.595,0.5
51,Aaron Munson,815317,FC,187,0.203,88.2,0.193,0.556,0.294,0.643
52,Aaron Munson,815317,FF,161,0.174,92.5,0.13,0.435,0.429,0.591
53,Aaron Munson,815317,SI,2,0.002,92.9,0.0,0.5,0.5,
54,Aaron Munson,815317,SL,120,0.13,83.9,0.242,0.533,0.3,0.55
55,Aaron Nixon,691004,FF,577,0.533,92.7,0.085,0.362,0.485,0.625
56,Aaron Nixon,691004,SL,506,0.467,84.5,0.164,0.474,0.37,0.519
57,Aaron Rozek,702065,CH,135,0.072,81.9,0.126,0.333,0.489,0.625
58,Aaron Rozek,702065,CU,160,0.085,74.9,0.169,0.462,0.362,0.357
59,Aaron Rozek,702065,FC,175,0.093,85.4,0.097,0.48,0.274,0.349
60,Aaron Rozek,702065,FF,97,0.051,88.0,0.134,0.433,0.33,0.348
61,Aaron Rozek,702065,SI,45,0.024,87.6,0.133,0.511,0.333,0.714
62,Aaron Rozek,702065,SL,240,0.127,80.1,0.125,0.458,0.333,0.34
63,Aaron Sanchez,592717,CH,217,0.194,86.6,0.069,0.364,0.433,0.523
64,Aaron Sanchez,592717,CU,227,0.203,76.5,0.176,0.458,0.37,0.359
65,Aaron Sanchez,592717,FC,186,0.166,87.3,0.161,0.452,0.414,0.32
66,Aaron Sanchez,592717,FF,207,0.185,90.3,0.053,0.372,0.43,0.341
67,Aaron Sanchez,592717,SI,177,0.158,90.2,0.023,0.367,0.39,0.512
68,Aaron Sanchez,592717,SL,105,0.094,81.3,0.124,0.362,0.524,0.417
69,Aaron Shortridge,663336,CH,59,0.064,84.5,0.051,0.153,0.61,0.357
70,Aaron Shortridge,663336,CU,72,0.078,78.1,0.042,0.417,0.333,0.444
71,Aaron Shortridge,663336,FC,205,0.221,89.4,0.112,0.459,0.385,0.281
72,Aaron Shortridge,663336,FF,299,0.322,91.3,0.1,0.488,0.334,0.396
73,Aaron Shortridge,663336,SI,5,0.005,89.8,0.2,0.4,0.2,1.0
74,Aaron Shortridge,663336,SL,289,0.311,84.0,0.152,0.457,0.349,0.393
75,Abdiel Mendoza,665959,CH,13,0.009,86.6,0.077,0.462,0.385,0.0
76,Abdiel Mendoza,665959,CU,18,0.012,79.6,0.167,0.444,0.333,0.25
77,Abdiel Mendoza,665959,FC,11,0.008,86.7,0.091,0.364,0.455,1.0
78,Abdiel Mendoza,665959,SI,46,0.032,92.5,0.022,0.326,0.587,0.5
79,Abdiel Mendoza,665959,SL,17,0.012,82.7,0.235,0.412,0.412,1.0
80,Abner Uribe,682842,FF,7,0.04,100.4,0.143,0.429,0.429,1.0
81,Abner Uribe,682842,SI,117,0.676,98.8,0.085,0.479,0.359,0.684
82,Abner Uribe,682842,SL,49,0.283,87.1,0.122,0.449,0.51,0.0
83,Adam Cimber,643256,FF,130,0.428,83.8,0.123,0.577,0.3,0.25
84,Adam Cimber,643256,SI,81,0.266,84.1,0.086,0.58,0.235,0.4
85,Adam Cimber,643256,SL,93,0.306,72.8,0.054,0.312,0.452,0.318
86,Adam Kloffenstein,680572,CH,273,0.187,86.2,0.176,0.44,0.381,0.531
87,Adam Kloffenstein,680572,CU,20,0.014,77.2,0.05,0.45,0.45,0.0
88,Adam Kloffenstein,680572,FC,312,0.214,88.0,0.115,0.455,0.407,0.279
89,Adam Kloffenstein,680572,FF,73,0.05,91.7,0.11,0.37,0.466,0.583
90,Adam Kloffenstein,680572,SI,510,0.35,90.8,0.076,0.437,0.345,0.577
91,Adam Kloffenstein,680572,ST,269,0.185,80.6,0.182,0.487,0.379,0.417
92,Adam Kolarek,592473,FF,244,0.416,88.2,0.111,0.496,0.316,0.413
93,Adam Kolarek,592473,SI,230,0.392,86.8,0.078,0.387,0.417,0.533
94,Adam Kolarek,592473,SL,113,0.193,78.8,0.097,0.416,0.522,0.429
95,Adam Leverett,687190,CH,52,0.036,83.8,0.115,0.288,0.538,0.778
96,Adam Leverett,687190,CU,11,0.008,80.6,0.0,0.182,0.636,0.0
97,Adam Leverett,687190,FC,32,0.022,87.1,0.156,0.406,0.469,0.25
98,Adam Leverett,687190,FF,21,0.014,91.7,0.238,0.619,0.143,0.6
99,Adam Leverett,687190,SI,64,0.044,91.5,0.078,0.438,0.281,0.611
100,Adam Leverett,687190,SL,5,0.003,83.0,0.2,0.2,0.8,
101,Adam Macko,671936,CH,28,0.019,81.6,0.071,0.464,0.393,0.75
102,Adam Macko,671936,CU,24,0.016,74.5,0.125,0.333,0.542,0.333
103,Adam Macko,671936,FF,36,0.024,91.7,0.139,0.472,0.417,0.5
104,Adam Macko,671936,SI,48,0.032,91.9,0.104,0.417,0.333,0.167
105,Adam Macko,671936,SL,49,0.033,81.9,0.122,0.633,0.245,0.5
106,Adam Mazur,800049,CH,71,0.049,90.8,0.113,0.338,0.437,0.438
107,Adam Mazur,800049,CU,138,0.096,81.8,0.167,0.42,0.377,0.429
108,Adam Mazur,800049,FC,79,0.055,87.4,0.152,0.481,0.278,0.579
109,Adam Mazur,800049,FF,480,0.333,95.0,0.096,0.469,0.346,0.303
110,Adam Mazur,800049,SI,67,0.046,93.6,0.164,0.522,0.343,0.889
111,Adam Mazur,800049,SL,183,0.127,86.8,0.158,0.492,0.361,0.444
