,player_name,pitcher,pitch_type,PC,%,Velo,SwStr%,Strike%,Ball%,GB%
0,A.J. Minter,621345,CH,18,0.108,86.2,0.167,0.222,0.722,1.0
1,A.J. Minter,621345,FC,77,0.464,89.4,0.182,0.494,0.351,0.667
2,A.J. Minter,621345,FF,71,0.428,94.4,0.085,0.507,0.352,0.1
3,A.J. Puk,640462,FF,97,0.622,96.4,0.186,0.639,0.247,0.273
4,A.J. Puk,640462,SI,2,0.013,95.8,0.0,0.0,1.0,
5,A.J. Puk,640462,SL,56,0.359,85.5,0.161,0.429,0.411,0.222
6,A.J. Puk,640462,ST,1,0.006,82.8,0.0,0.0,1.0,
7,AJ Smith-Shawver,700363,CU,49,0.196,77.6,0.061,0.347,0.551,0.6
8,AJ Smith-Shawver,700363,FF,92,0.368,94.6,0.065,0.37,0.435,0.278
9,AJ Smith-Shawver,700363,FS,89,0.356,83.2,0.27,0.539,0.303,0.357
10,AJ Smith-Shawver,700363,SL,20,0.08,87.0,0.0,0.45,0.4,0.333
11,Aaron Bummer,607481,CU,39,0.223,81.4,0.231,0.667,0.205,0.4
12,Aaron Bummer,607481,FF,26,0.149,92.1,0.038,0.615,0.269,0.667
13,Aaron Bummer,607481,SI,54,0.309,91.2,0.037,0.574,0.278,0.75
14,Aaron Bummer,607481,ST,56,0.32,81.2,0.089,0.411,0.464,0.571
15,Aaron Civale,650644,CU,7,0.103,77.4,0.0,0.571,0.429,
16,Aaron Civale,650644,FC,30,0.441,88.5,0.133,0.567,0.3,0.25
17,Aaron Civale,650644,FF,7,0.103,91.5,0.0,0.286,0.429,0.0
18,Aaron Civale,650644,FS,3,0.044,85.3,0.0,0.0,0.667,0.0
19,Aaron Civale,650644,SI,15,0.221,91.4,0.067,0.4,0.4,0.333
20,Aaron Civale,650644,ST,6,0.088,80.6,0.0,0.667,0.167,0.0
21,Aaron Nola,605400,CH,77,0.159,84.2,0.156,0.325,0.481,0.4
22,Aaron Nola,605400,CU,138,0.285,77.8,0.196,0.536,0.304,0.5
23,Aaron Nola,605400,FC,38,0.078,85.8,0.105,0.342,0.526,0.2
24,Aaron Nola,605400,FF,115,0.237,91.1,0.087,0.478,0.357,0.368
25,Aaron Nola,605400,SI,117,0.241,90.0,0.051,0.513,0.299,0.727
26,Abner Uribe,682842,FF,1,0.008,99.3,0.0,1.0,0.0,
27,Abner Uribe,682842,SI,80,0.62,98.4,0.05,0.375,0.4,0.778
28,Abner Uribe,682842,SL,48,0.372,86.8,0.271,0.542,0.354,0.6
29,Adam Ottavino,493603,FC,3,0.071,86.9,0.0,0.333,0.667,
30,Adam Ottavino,493603,FF,10,0.238,93.1,0.1,0.3,0.7,
31,Adam Ottavino,493603,SI,15,0.357,92.3,0.067,0.467,0.467,0.0
32,Adam Ottavino,493603,ST,14,0.333,78.7,0.143,0.643,0.286,0.0
33,Adrian Morejon,670970,FC,25,0.15,93.8,0.04,0.36,0.4,0.5
34,Adrian Morejon,670970,FF,15,0.09,95.8,0.067,0.467,0.533,
35,Adrian Morejon,670970,FS,5,0.03,86.3,0.0,0.2,0.6,1.0
36,Adrian Morejon,670970,SI,102,0.611,97.1,0.069,0.422,0.343,0.542
37,Adrian Morejon,670970,SL,20,0.12,87.2,0.2,0.35,0.35,0.5
38,Albert Suarez,544150,CH,4,0.103,85.0,0.25,0.5,0.25,1.0
39,Albert Suarez,544150,CU,2,0.051,78.3,0.0,0.0,0.5,1.0
40,Albert Suarez,544150,FC,12,0.308,85.4,0.167,0.333,0.417,0.333
41,Albert Suarez,544150,FF,17,0.436,93.0,0.118,0.471,0.353,0.667
42,Albert Suarez,544150,SV,4,0.103,80.1,0.0,0.5,0.25,0.0
43,Alek Jacob,689690,CH,82,0.345,74.5,0.122,0.512,0.256,0.316
44,Alek Jacob,689690,FF,85,0.357,85.6,0.118,0.553,0.318,0.364
45,Alek Jacob,689690,SI,39,0.164,84.1,0.026,0.41,0.333,0.2
46,Alek Jacob,689690,ST,32,0.134,72.1,0.094,0.375,0.531,0.333
47,Alex Vesia,681911,CH,8,0.037,84.2,0.125,0.625,0.25,1.0
48,Alex Vesia,681911,FF,120,0.553,92.2,0.183,0.608,0.267,0.067
49,Alex Vesia,681911,SL,89,0.41,83.6,0.18,0.506,0.416,0.571
50,Alexis Diaz,664747,FF,64,0.744,92.9,0.109,0.516,0.375,0.286
51,Alexis Diaz,664747,SL,21,0.244,87.2,0.048,0.19,0.524,0.0
52,Andre Pallante,669467,CU,42,0.095,78.0,0.071,0.214,0.619,0.857
53,Andre Pallante,669467,FF,240,0.544,93.7,0.096,0.438,0.354,0.7
54,Andre Pallante,669467,SI,49,0.111,94.3,0.041,0.347,0.408,0.667
55,Andre Pallante,669467,SL,110,0.249,86.6,0.182,0.4,0.445,0.529
56,Andres Munoz,662253,CH,3,0.017,91.2,0.0,0.333,0.333,1.0
57,Andres Munoz,662253,FF,66,0.371,98.6,0.121,0.485,0.364,0.7
58,Andres Munoz,662253,SI,30,0.169,98.3,0.0,0.333,0.533,1.0
59,Andres Munoz,662253,SL,79,0.444,87.2,0.329,0.532,0.354,0.556
60,Andrew Abbott,671096,CH,43,0.247,84.1,0.233,0.395,0.442,0.429
61,Andrew Abbott,671096,CU,28,0.161,79.8,0.143,0.607,0.321,0.5
62,Andrew Abbott,671096,FC,2,0.011,87.0,0.0,0.0,1.0,
63,Andrew Abbott,671096,FF,83,0.477,91.2,0.12,0.494,0.373,0.182
64,Andrew Abbott,671096,ST,18,0.103,82.5,0.056,0.389,0.556,0.0
65,Andrew Heaney,571760,CH,86,0.188,82.1,0.116,0.349,0.419,0.5
66,Andrew Heaney,571760,CS,25,0.055,72.3,0.16,0.44,0.52,1.0
67,Andrew Heaney,571760,CU,56,0.122,78.9,0.161,0.589,0.232,0.4
68,Andrew Heaney,571760,FF,194,0.424,90.0,0.113,0.552,0.299,0.345
69,Andrew Heaney,571760,SI,29,0.063,89.6,0.172,0.586,0.207,0.333
70,Andrew Heaney,571760,SL,32,0.07,80.4,0.125,0.375,0.438,0.833
71,Angel Chivilli,683409,CH,84,0.404,88.7,0.202,0.393,0.476,0.636
72,Angel Chivilli,683409,FF,101,0.486,96.8,0.099,0.426,0.337,0.708
73,Angel Chivilli,683409,SL,23,0.111,90.8,0.13,0.304,0.478,0.6
