Name,FGID,MLBID
Aaron Judge,15640,592450
Shohei Ohtani,19755,660271
Juan Soto,20123,665742
Bobby Witt Jr.,25764,677951
Gunnar Henderson,26289,683002
Francisco Lindor,12916,596019
Julio Rodriguez,23697,677594
Jose Ramirez,13510,608070
Yordan Alvarez,19556,670541
Corey Seager,13624,608369
Cal Raleigh,21534,663728
Mookie Betts,13611,605141
Ronald Acuna Jr.,18401,660670
Adley Rutschman,26288,668939
Elly De La Cruz,26668,682829
Fernando Tatis Jr.,19709,665487
William Contreras,20503,661388
Andres Gimenez,19950,665926
Michael Harris II,25931,671739
Vladimir Guerrero Jr.,19611,665489
Trea Turner,16252,607208
Jackson Merrill,29490,701538
Marcus Semien,12533,543760
Austin Riley,18360,663586
Corbin Carroll,25878,682998
Freddie Freeman,5361,518692
Wyatt Langford,33333,694671
Nico Hoerner,21479,663538
Willy Adames,15986,642715
Will Smith,19197,669257
Carlos Correa,14162,621043
Dansby Swanson,18314,621020
Matt Chapman,16505,656305
Riley Greene,25976,682985
Ketel Marte,13613,606466
Bryce Harper,11579,547180
Isaac Paredes,20036,670623
Rafael Devers,17350,646240
Manny Machado,11493,592518
Brent Rooker,19627,667670
Jarren Duran,24617,680776
Alex Bregman,17678,608324
Brandon Nimmo,12927,607043
Steven Kwan,24610,680757
Matt McLain,29695,680574
Jazz Chisholm Jr.,20454,665862
Jordan Westburg,27815,676059
Zach Neto,31347,687263
Kyle Tucker,18345,663656
Alejandro Kirk,22581,672386
Anthony Volpe,27647,683011
Patrick Bailey,27478,672275
Gabriel Moreno,22664,672515
Ha-Seong Kim,27506,673490
Anthony Santander,14551,623993
Yainer Diaz,23003,673237
Sean Murphy,19352,669221
Ezequiel Tovar,24064,678662
Ian Happ,17919,664023
Carson Williams,sa3017795,700246
Jose Altuve,5417,514888
Colton Cowser,29591,681297
James Wood,29518,695578
Pete Crow-Armstrong,27769,691718
Matt Olson,14344,621566
Bo Bichette,19612,666182
Seiya Suzuki,30116,673548
Jackson Holliday,31781,702616
Nolan Arenado,9777,571448
Pete Alonso,19251,624413
Alec Bohm,21618,664761
Matt Wallner,26466,670242
Daulton Varsho,19918,662139
Masyn Winn,27479,691026
Byron Buxton,14161,621439
Mark Vientos,22184,668901
Gleyber Torres,16997,650402
Oneil Cruz,21711,665833
J.P. Crawford,15491,641487
Mike Trout,10155,545361
Cody Bellinger,15998,641355
Xander Bogaerts,12161,593428
Jeremy Pena,21636,665161
Josh Smith,26396,669701
J.T. Realmuto,11739,592663
Brenton Doyle,25479,686668
Willson Contreras,11609,575929
Bryson Stott,26294,681082
Leody Taveras,18900,665750
Tyler O'Neill,15711,641933
Brandon Lowe,18882,664040
Jackson Chourio,28806,694192
Teoscar Hernandez,13066,606192
Salvador Perez,7304,521692
Shea Langeliers,25816,669127
Randy Arozarena,19290,668227
Lawrence Butler,22542,671732
Brayden Taylor,sa3022921,694966
Tommy Edman,19470,669242
Cedric Mullins,17929,656775
Dylan Crews,33541,686611
Brendan Donovan,24679,680977
Josh Lowe,19953,666139
Ryan Jeffers,24618,680777
Francisco Alvarez,26121,682626
Andy Pages,24816,681624
Christian Walker,13419,572233
CJ Abrams,25768,682928
Luis Robert Jr.,20043,673357
Bo Naylor,21865,666310
Ryan McMahon,15112,641857
Zack Gelof,29766,680869
Yandy Diaz,16578,650490
Nick Gonzales,27490,693304
Kristian Campbell,sa3023011,692225
Brice Turang,22186,668930
Logan O'Hoppe,24729,681351
Tyler Stephenson,17988,663886
Jonathan India,21523,663697
Chase Meidroth,sa3020011,805367
Edouard Julien,27534,666397
Spencer Horwitz,26477,687462
Shay Whitcomb,27789,694376
Dominic Keegan,sa3020194,681371
Maikel Garcia,22715,672580
Jake Meyers,20308,676694
Dalton Rushing,sa3019892,687221
Bryan Reynolds,19326,668804
Adolis Garcia,19287,666969
Dillon Dingler,27464,693307
Parker Meadows,23800,678009
Coby Mayo,28312,691723
Lars Nootbaar,21454,663457
Jace Jung,31437,690291
Kyle Schwarber,16478,656941
Davis Schneider,23565,676914
Max Muncy,13301,571970
Tyler Fitzgerald,26208,666149
Ben Williamson,sa3022437,810938
DaShawn Keirsey Jr.,24496,680577
Christian Yelich,11477,592885
Ozzie Albies,16556,645277
Roman Anthony,sa3020211,701350
Wilyer Abreu,23772,677800
Nathaniel Lowe,19566,663993
Jonah Heim,16930,641680
Will Wagner,29634,695238
Jake Burger,22275,669394
Eugenio Suarez,12552,553993
Austin Wells,27562,669224
Trent Grisham,18564,663757
Curtis Mead,23986,678554
Esteury Ruiz,21780,665923
Harry Ford,sa3017627,695670
Sal Frelick,29622,686217
JJ Bleday,26368,668709
Jonah Bride,24703,681146
Chandler Simpson,sa3020219,802415
Addison Barger,24598,680718
Junior Caminero,28163,691406
Luis Garcia Jr.,20391,671277
Trey Sweeney,29575,700242
Colt Keith,27899,690993
Alex Freeland,sa3020653,690976
Michael Busch,26319,683737
Xavier Edwards,22266,669364
Heston Kjerstad,31166,677008
Alejo Lopez,21127,664670
Taylor Ward,17548,621493
Eguy Rosario,19964,666703
Jonathan Aranda,21837,666018
Lane Thomas,16939,657041
Brandon Marsh,20202,669016
Charles McAdoo,sa3022823,807727
Heliot Ramos,22515,671218
Ceddanne Rafaela,24262,678882
Andres Chaparro,21797,665953
Colby Thomas,sa3020713,687515
