,Player,SAVID,FGID,Team,Level,Age,K%,BB%,Brl%,Solid%,Flare%,Under%,Topped%,Weak%,BrlHR,Brl3B,Brl2B,Brl1B,BrlBABIP,BrlOut,SolidHR,Solid3B,Solid2B,Solid1B,SolidBABIP,SolidOut,FlareHR,Flare3B,Flare2B,Flare1B,FlareBABIP,FlareOut,UnderHR,Under3B,Under2B,Under1B,UnderBABIP,UnderOut,ToppedHR,Topped3B,Topped2B,Topped1B,ToppedBABIP,ToppedOut,WeakHR,Weak3B,Weak2B,Weak1B,WeakBABIP,WeakOut,SBAtt%,SBSuccess%,PPA,HBPRate,SplitK_R,SplitK_L,SplitBB_R,SplitBB_L,SplitBrl_R,SplitBrl_L,SplitSolid_R,SplitSolid_L,SplitFlare_R,SplitFlare_L,SplitTopped_R,SplitTopped_L,SplitUnder_R,SplitUnder_L,SplitWeak_R,SplitWeak_L
0,Jorge Soler,624585,14221,LAA,MLB,33.2,0.259,0.107,0.133,0.077,0.213,0.28,0.259,0.037,0.52,0.0,0.193,0.028,0.741,0.259,0.081,0.016,0.228,0.126,0.451,0.5489999999999999,0.0,0.008,0.092,0.549,0.649,0.351,0.006,0.002,0.023,0.026,0.057,0.943,0.0,0.0,0.013,0.121,0.134,0.866,0.0,0.0,0.002,0.142,0.144,0.856,0.02678689956331878,0.95,3.9092224069473023,0.012246820536975978,1.013,0.967,0.909,1.1085,0.9555,1.2215,0.992,1.085,1.0065,0.9615,1.041,0.8725,0.9804999999999999,1.0655000000000001,1.0150000000000001,0.8160000000000001
1,Zach Neto,687263,31347,LAA,MLB,24.3,0.234,0.06,0.095,0.077,0.231,0.24,0.3,0.058,0.53,0.0,0.262,0.0,0.792,0.20799999999999996,0.071,0.016,0.215,0.116,0.418,0.5820000000000001,0.0,0.005,0.11,0.556,0.671,0.32899999999999996,0.007,0.004,0.031,0.031,0.073,0.927,0.0,0.0,0.02,0.139,0.159,0.841,0.0,0.0,0.002,0.116,0.118,0.882,0.2636502673796791,0.775,3.9092224069473023,0.03888419273034658,1.016,0.964,0.893,0.991,1.023,1.089,1.021,1.054,0.981,1.023,1.016,0.953,0.994,1.026,0.964,0.841
2,Mike Trout,545361,10155,LAA,MLB,33.7,0.281,0.114,0.164,0.069,0.239,0.287,0.195,0.046,0.591,0.033,0.128,0.002,0.754,0.246,0.078,0.016,0.207,0.116,0.417,0.583,0.0,0.008,0.097,0.543,0.648,0.352,0.005,0.005,0.029,0.033,0.072,0.928,0.0,0.0,0.014,0.18,0.194,0.806,0.0,0.001,0.002,0.214,0.217,0.783,0.11391764705882353,0.8346153846153846,3.9092224069473023,0.01710097719869707,1.0190000000000001,0.9485,0.929,1.0495,1.0619999999999998,0.893,1.0745,0.8345,0.954,1.1204999999999998,0.972,1.0845,1.008,0.9805,0.933,1.0675
3,Taylor Ward,621493,17548,LAA,MLB,31.4,0.233,0.089,0.119,0.067,0.23,0.292,0.27,0.023,0.457,0.024,0.204,0.006,0.69,0.31000000000000005,0.069,0.016,0.207,0.114,0.406,0.594,0.0,0.005,0.095,0.564,0.664,0.33599999999999997,0.006,0.002,0.026,0.032,0.066,0.9339999999999999,0.0,0.0,0.017,0.155,0.172,0.8280000000000001,0.0,0.0,0.002,0.211,0.213,0.787,0.0738084388185654,0.65,3.9092224069473023,0.013131313131313131,1.034,0.9045,0.9405,1.013,1.036,0.9775,1.044,0.9339999999999999,0.9644999999999999,1.083,1.0,0.9984999999999999,1.0154999999999998,0.9625,0.942,1.03
4,Logan O'Hoppe,681351,24729,LAA,MLB,25.2,0.293,0.062,0.137,0.071,0.251,0.246,0.263,0.032,0.543,0.0,0.114,0.038,0.695,0.30500000000000005,0.064,0.023,0.196,0.144,0.427,0.573,0.0,0.005,0.086,0.559,0.65,0.35,0.007,0.002,0.031,0.028,0.068,0.9319999999999999,0.0,0.0,0.005,0.16,0.165,0.835,0.0,0.0,0.0,0.137,0.137,0.863,0.050911111111111115,0.48125,3.9092224069473023,0.01858513189448441,1.016,0.964,0.893,0.991,1.023,1.089,1.021,1.054,0.981,1.023,1.016,0.953,0.994,1.026,0.964,0.841
5,Nolan Schanuel,694384,33189,LAA,MLB,23.2,0.166,0.115,0.044,0.046,0.293,0.225,0.351,0.04,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.005,0.087,0.57,0.662,0.33799999999999997,0.005,0.002,0.029,0.024,0.06,0.94,0.0,0.0,0.008,0.136,0.144,0.856,0.0,0.0,0.002,0.133,0.135,0.865,0.07714767025089606,0.8250000000000001,3.9092224069473023,0.015730337078651686,0.968,1.051,1.125,0.991,1.062,0.826,1.071,0.854,1.019,0.977,0.94,1.091,1.058,0.922,0.821,1.374
6,Luis Rengifo,650859,19858,LAA,MLB,28.2,0.161,0.065,0.044,0.05,0.265,0.22,0.386,0.034,0.594,0.005,0.11,0.0,0.709,0.29100000000000004,0.071,0.022,0.227,0.102,0.422,0.5780000000000001,0.0,0.008,0.092,0.561,0.661,0.33899999999999997,0.007,0.002,0.027,0.035,0.071,0.929,0.0,0.002,0.016,0.173,0.191,0.8089999999999999,0.0,0.0,0.008,0.124,0.132,0.868,0.2252054054054054,0.7380434782608696,3.9092224069473023,0.011247991430101767,1.0065,0.923,1.087,0.9315,0.9470000000000001,1.254,1.0065,1.099,1.021,0.9829999999999999,0.9834999999999999,0.9425,1.024,1.025,0.9185,0.8999999999999999
7,Jo Adell,666176,20220,LAA,MLB,26.1,0.291,0.071,0.104,0.057,0.209,0.269,0.315,0.046,0.493,0.01,0.173,0.0,0.676,0.32399999999999995,0.068,0.028,0.227,0.128,0.451,0.5489999999999999,0.0,0.017,0.106,0.549,0.672,0.32799999999999996,0.005,0.002,0.02,0.033,0.06,0.94,0.0,0.0,0.015,0.152,0.167,0.833,0.0,0.0,0.002,0.195,0.197,0.8029999999999999,0.2338845070422535,0.746875,3.9092224069473023,0.015591397849462365,1.0305,0.9265,1.0225,0.808,0.9655,1.1415,1.015,1.018,0.9904999999999999,1.0114999999999998,1.0205,0.95,0.9875,1.0335,1.0145,0.8514999999999999
8,Kyren Paris,677347,26420,LAA,MLB,23.5,0.342,0.092,0.085,0.055,0.279,0.196,0.317,0.069,0.47,0.0,0.17,0.0,0.69,0.31000000000000005,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.008,0.099,0.552,0.659,0.34099999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.18,0.18,0.8200000000000001,0.0,0.0,0.0,0.194,0.194,0.806,0.2886,0.8705882352941177,3.9092224069473023,0.02,1.016,0.964,0.893,0.991,1.023,1.089,1.021,1.054,0.981,1.023,1.016,0.953,0.994,1.026,0.964,0.841
9,Travis d'Arnaud,518595,7739,LAA,MLB,36.2,0.265,0.068,0.099,0.077,0.221,0.219,0.346,0.038,0.509,0.0,0.202,0.0,0.711,0.28900000000000003,0.082,0.021,0.218,0.118,0.439,0.5609999999999999,0.0,0.005,0.11,0.541,0.656,0.344,0.006,0.002,0.034,0.026,0.068,0.9319999999999999,0.0,0.0,0.011,0.139,0.15,0.85,0.0,0.0,0.002,0.08,0.082,0.918,0.027720792079207926,0.95,3.9092224069473023,0.018571428571428572,1.0285,0.911,0.8835,1.214,1.005,1.067,1.036,0.9385,0.9684999999999999,1.087,0.9944999999999999,1.0225,1.0335,0.886,0.9974999999999999,0.866
