,Player,SAVID,FGID,Team,Level,Age,K%,BB%,Brl%,Solid%,Flare%,Under%,Topped%,Weak%,PPA,HBPRate,SplitK_R,SplitK_L,SplitBB_R,SplitBB_L,SplitBrl_R,SplitBrl_L,SplitSolid_R,SplitSolid_L,SplitFlare_R,SplitFlare_L,SplitTopped_R,SplitTopped_L,SplitUnder_R,SplitUnder_L,SplitWeak_R,SplitWeak_L
0,Yusei Kikuchi,579328,20633,LAA,MLB,34.2,0.254,0.084,0.092,0.064,0.246,0.246,0.297,0.042,3.905,0.007,0.9726666666666667,1.0536666666666668,1.0183333333333333,0.9043333333333333,1.0723333333333334,0.8233333333333333,1.0406666666666666,0.888,1.018,0.9746666666666667,0.9593333333333333,1.0883333333333334,1.0263333333333333,0.9236666666666667,0.8556666666666667,1.4466666666666668
1,Jose Soriano,667755,22100,LAA,MLB,26.8,0.212,0.1,0.078,0.061,0.24,0.139,0.459,0.042,3.905,0.015,1.044,0.949,0.932,1.0879999999999999,1.0713333333333332,1.0026666666666668,0.9963333333333333,1.0653333333333335,0.9923333333333333,1.0086666666666666,1.0056666666666665,0.965,0.9903333333333333,1.039,0.874,0.9503333333333333
2,Tyler Anderson,542881,12880,LAA,MLB,35.7,0.171,0.094,0.079,0.064,0.241,0.309,0.26,0.046,3.905,0.008,0.9856666666666666,1.0086666666666666,0.985,1.023,1.0546666666666666,0.8889999999999999,1.0636666666666668,0.8143333333333334,1.0086666666666666,1.006,0.9576666666666667,1.089,1.026,0.9286666666666668,0.9033333333333333,1.264
3,Victor Mederos,682989,31533,LAA,MLB,24.2,0.169,0.118,0.065,0.057,0.244,0.297,0.319,0.041,3.905,0.027,1.015,0.967,0.898,1.132,1.02,1.072,1.025,1.074,0.981,1.019,1.015,0.942,0.993,1.053,0.944,0.821
4,Kyle Hendricks,543294,12049,LAA,MLB,35.7,0.17,0.049,0.08,0.061,0.242,0.26,0.311,0.046,3.905,0.011,0.9979999999999999,0.9896666666666666,0.8216666666666667,1.196,0.9723333333333334,1.0906666666666667,0.9933333333333333,1.0736666666666668,0.9863333333333333,1.0136666666666665,1.0303333333333333,0.9403333333333334,0.9613333333333334,1.0706666666666667,1.0766666666666667,0.762
5,Kenley Jansen,445276,3096,LAA,MLB,37.9,0.251,0.068,0.08,0.063,0.236,0.355,0.234,0.046,3.905,0.006,1.0283333333333333,0.9583333333333333,0.9183333333333333,1.1023333333333332,0.9813333333333334,1.08,1.0703333333333334,0.9953333333333334,1.0076666666666667,0.9919999999999999,0.9303333333333332,1.0413333333333332,1.0396666666666667,0.9906666666666666,0.8746666666666666,0.9689999999999999
6,Reid Detmers,672282,27468,LAA,MLB,26.1,0.289,0.084,0.081,0.065,0.249,0.278,0.274,0.041,3.905,0.013,0.9896666666666666,0.996,1.004,0.9626666666666667,1.072,0.8353333333333333,1.0346666666666666,0.9073333333333333,1.0073333333333332,1.009,0.9516666666666667,1.1063333333333334,1.0436666666666665,0.877,0.8513333333333333,1.4220000000000002
7,Luis Garcia,472610,6984,LAA,MLB,38.6,0.212,0.079,0.071,0.061,0.243,0.196,0.392,0.045,3.905,0.012,1.0126666666666666,0.9743333333333333,0.8686666666666667,1.1773333333333333,1.017,1.0426666666666666,1.0846666666666667,0.9503333333333334,0.9349999999999999,1.0893333333333333,1.0056666666666665,0.9676666666666666,1.0283333333333333,0.9873333333333333,1.024,0.7909999999999999
8,Brock Burke,656271,17968,LAA,MLB,29.1,0.223,0.074,0.077,0.068,0.244,0.244,0.303,0.047,3.905,0.009,0.9806666666666667,1.028,0.988,1.001,1.0426666666666666,0.9103333333333333,1.091,0.7906666666666666,1.0083333333333333,0.999,0.9333333333333333,1.1276666666666668,1.0693333333333332,0.8506666666666667,0.8676666666666667,1.33
9,Ryan Zeferjahn,666171,25420,LAA,MLB,27.5,0.282,0.105,0.079,0.066,0.233,0.318,0.293,0.042,3.905,0.021,1.015,0.967,0.898,1.132,1.02,1.072,1.025,1.074,0.981,1.019,1.015,0.942,0.993,1.053,0.944,0.821
10,Andrew Chafin,605177,12988,LAA,MLB,35.2,0.225,0.126,0.076,0.063,0.24,0.252,0.333,0.045,3.905,0.007,0.9856666666666666,1.0226666666666666,0.97,1.0206666666666666,1.1343333333333334,0.7703333333333333,1.0723333333333334,0.8463333333333333,1.0276666666666665,0.967,0.9183333333333333,1.1316666666666668,1.0619999999999998,0.889,0.8003333333333333,1.4053333333333333
11,Connor Brogdon,641401,21205,LAA,MLB,30.6,0.222,0.081,0.081,0.062,0.238,0.309,0.28,0.045,3.905,0.007,1.0616666666666665,0.9203333333333333,0.974,1.0413333333333332,1.0696666666666668,0.9936666666666667,1.0673333333333332,1.0003333333333333,1.0213333333333334,0.9796666666666666,0.9656666666666666,1.0043333333333333,0.9923333333333333,1.0383333333333333,0.9273333333333333,0.9146666666666666
12,Carson Fulmer,608334,18311,LAA,MLB,31.7,0.227,0.094,0.092,0.063,0.237,0.254,0.333,0.041,3.905,0.012,1.0013333333333332,0.9873333333333333,0.9156666666666666,1.1053333333333333,0.9896666666666667,1.0743333333333334,1.0733333333333333,0.9863333333333334,0.9426666666666667,1.0619999999999998,1.0313333333333332,0.9376666666666666,0.9996666666666666,1.0303333333333333,0.9706666666666667,0.8716666666666666
13,Caden Dana,702674,31508,LAA,MLB,21.7,0.201,0.103,0.091,0.052,0.24,0.269,0.342,0.038,3.905,0.013,1.015,0.967,0.898,1.132,1.02,1.072,1.025,1.074,0.981,1.019,1.015,0.942,0.993,1.053,0.944,0.821
14,Jack Kochanowicz,686799,27688,LAA,MLB,24.7,0.148,0.099,0.079,0.057,0.248,0.192,0.39,0.04,3.905,0.018,1.0346666666666666,0.961,0.9533333333333334,1.0733333333333333,0.908,1.118,1.0546666666666666,1.024,0.9616666666666667,1.0296666666666665,1.0463333333333333,0.9369999999999999,0.993,1.037,1.0193333333333332,0.843
15,Sam Bachman,696147,29754,LAA,MLB,25.9,0.188,0.092,0.054,0.058,0.26,0.204,0.356,0.043,3.905,0.017,1.015,0.967,0.898,1.132,1.02,1.072,1.025,1.074,0.981,1.019,1.015,0.942,0.993,1.053,0.944,0.821
16,Chase Silseth,681217,30074,LAA,MLB,25.3,0.236,0.101,0.095,0.059,0.247,0.196,0.337,0.045,4.023,0.011,1.0306666666666666,0.9563333333333334,0.8686666666666667,1.1543333333333332,0.991,1.0716666666666668,0.8819999999999999,1.1926666666666668,0.9573333333333334,1.0446666666666666,1.0746666666666667,0.8923333333333333,0.9633333333333334,1.0693333333333332,0.9773333333333333,0.8653333333333333
17,Jose M. Fermin,820862,33908,LAA,MLB,23.7,0.261,0.098,0.104,0.062,0.251,0.261,0.265,0.038,4.3,0.006,1.015,0.967,0.898,1.132,1.02,1.072,1.025,1.074,0.981,1.019,1.015,0.942,0.993,1.053,0.944,0.821
18,Samuel Aldegheri,691951,26443,LAA,MLB,23.9,0.193,0.108,0.071,0.073,0.24,0.334,0.251,0.042,3.905,0.015,0.967,1.05,0.997,0.972,1.085,0.824,1.058,0.843,1.023,0.977,0.949,1.094,1.029,0.926,0.862,1.374
19,Ryan C. Johnson,696270,35325,LAA,MLB,23.0,0.259,0.068,0.08,0.063,0.237,0.246,0.354,0.043,3.859,0.003,1.015,0.967,0.898,1.132,1.02,1.072,1.025,1.074,0.981,1.019,1.015,0.942,0.993,1.053,0.944,0.821
20,Trevor Rogers,669432,22286,BAL,MLB,27.8,0.221,0.064,0.076,0.064,0.248,0.244,0.308,0.045,3.905,0.008,0.964,1.0813333333333333,0.967,1.087,1.1023333333333334,0.708,1.0716666666666668,0.7696666666666666,1.0043333333333333,1.0266666666666666,0.9493333333333333,1.1263333333333334,1.0396666666666665,0.8736666666666667,0.8636666666666667,1.4186666666666667
21,Tomoyuki Sugano,608372,35321,BAL,MLB,35.9,0.158,0.06,0.097,0.059,0.247,0.257,0.288,0.041,3.784,0.012,1.021,0.968,0.9283333333333333,1.0913333333333333,0.9666666666666667,1.0893333333333335,0.9733333333333333,1.0876666666666668,0.9506666666666667,1.0453333333333332,1.0133333333333332,0.9583333333333333,1.053,0.984,1.0113333333333332,0.8376666666666667
22,Brandon Young,687064,27819,BAL,MLB,27.0,0.206,0.086,0.09,0.07,0.231,0.263,0.312,0.047,3.627,0.007,1.015,0.967,0.898,1.132,1.02,1.072,1.025,1.074,0.981,1.019,1.015,0.942,0.993,1.053,0.944,0.821
