Name,Age,fContact,fDiscipline,fPower,fSpeed,fDurability,TOTAL,FUTURE,BETA
William Contreras,27,101,124,127,81,127,111,121,2.83
Cal Raleigh,28,97,106,153,76,128,115,120,1.18
Will Smith,30,110,122,121,72,111,105,106,0.26
Adley Rutschman,27,97,141,89,68,127,102,100,2.19
Shea Langliers,27,96,89,133,74,117,103,110,17.65
Tyler Stephenson,28,103,109,115,66,109,99,113,33.92
Salvador Perez,35,106,73,122,62,134,101,102,11.24
Willson Contreras,33,99,112,123,79,90,98,96,-
Yainer Diaz,26,106,66,107,73,128,97,106,37.65
Logan O'Hoppe,25,100,83,132,61,105,95,106,-
Austin Wells,25,97,107,119,65,104,94,106,-
J.T. Realmuto,34,105,91,120,94,97,97,93,4.78
Sean Murphy,30,92,115,121,65,86,89,89,7.76
Ivan Herrera,25,102,126,87,109,79,93,108,-
Agustin Ramirez,23,91,103,93,130,104,100,110,-
Gabriel Moreno,25,106,134,75,89,73,89,104,-
Bo Naylor,25,91,104,107,89,104,93,101,-
Keibert Ruiz,26,99,105,77,75,116,92,101,3.87
Dalton Rushing,24,93,121,107,66,95,93,103,-
Ryan Jeffers,28,95,94,114,77,88,92,93,19.62
Alejandro Kirk,26,101,135,80,61,100,90,96,3.1
Francisco Alvarez,23,91,99,109,66,103,88,89,2.8
Kyle Teel,23,97,124,69,96,96,91,93,-
Joey Bart,28,95,86,100,68,71,82,99,-
Hunter Goodman,25,97,75,129,69,106,88,97,-
Jake Rogers,30,98,87,120,75,77,85,90,30.87
Adrian del Castillo,25,101,95,106,71,76,82,97,-
Kyle Higashioka,35,100,82,131,77,73,89,93,-
Jonah Heim,30,97,91,92,65,110,89,88,8.25
Drake Baldwin,24,95,115,80,67,111,88,97,
Patrick Bailey,26,99,97,79,82,102,86,89,8.74
Danny Jansen,30,91,130,106,66,69,86,88,21
Mitch Garver,34,90,125,113,64,76,89,85,41.76
Samuel Basallo,20,93,80,100,84,101,88,95,-
Connor Wong,29,95,78,92,82,98,84,86,47.2
Edgar Quero,22,96,113,76,67,80,81,86,-
Travis D'Arnaud,36,99,87,117,70,78,87,82,11.43
Moises Ballesteros,21,95,86,85,67,103,83,86,-
David Fry,29,97,98,106,80,69,87,87,-
Luis Campusano,26,99,92,87,62,57,75,89,-
Endy Rodriguez,25,99,104,71,74,46,72,97,-
Yasmani Grandal,36,99,134,109,62,69,87,92,-
Gary Sanchez,32,92,111,122,64,68,84,82,-
Miguel Amaya,26,98,95,89,63,78,80,90,-
Jacob Stallings,35,100,107,90,59,70,80,86,-
Pedro Pages,26,94,94,82,79,91,79,91,-
Jeferson Quero,22,95,100,89,77,42,76,90,-
Henry Davis,25,89,99,84,75,72,74,86,-
Carson Kelly,30,93,110,80,68,70,78,88,-
Victor Caritini,31,107,113,82,56,69,79,81,-
Eric Haase,32,99,68,119,81,48,75,85,-
Freddy Fermin,30,98,92,72,77,88,80,76,-
Kyle McCann,27,91,86,104,72,73,77,78,-
Nick Fortes,28,95,98,59,64,81,73,74,-
Jimmy Crooks,23,104,95,93,80,83,85,95,-
Harry Ford,22,91,122,66,155,97,98,99,-
James McCann,35,100,79,98,77,53,76,80,-
Dillon Dingler,26,95,76,83,79,73,73,83,-
Elias Diaz,34,98,82,75,62,84,75,71,5.05
Carter Jensen,21,85,107,87,98,103,91,98,-
Diego Cartaya,23,83,84,81,75,84,75,76,-
Christian Vazquez,34,97,83,70,74,82,75,72,-
Jose Trevino,32,86,111,71,79,50,72,69,-
Drew Romo,23,95,65,68,48,65,61,66,0
Vladimir Guerrero Jr.,26,111,123,142,66,144,120,138,9.24
Freddie Freeman,35,126,130,122,99,130,120,115,3.38
Bryce Harper,31,112,117,140,85,119,117,118,0.42
Matt Olson,31,103,119,152,64,147,117,117,12.26
Pete Alonso,30,98,112,147,75,144,117,118,2.87
Christian Walker,34,100,114,133,74,113,108,104,1.43
Spencer Steer,27,94,123,97,124,137,115,122,14.89
Triston Casas,25,100,128,140,62,74,96,114,-
Paul Goldschmidt,37,102,104,133,105,140,114,106,2.49
Cody Bellinger,29,102,104,109,106,119,106,108,14.79
Josh Naylor,28,101,108,99,85,127,107,110,2.63
Mark Vientos,25,97,78,141,66,116,101,114,-
Jake Burger,29,100,72,151,69,121,105,109,15.5
Nathaniel Lowe,29,104,130,100,70,136,105,110,3.86
Michael Busch,27,97,110,113,79,127,103,111,-
Luis Arraez,28,121,195,53,83,134,110,109,2.66
Alec Burleson,26,100,100,86,76,126,99,113,24.25
Luke Raley,30,97,83,133,119,93,104,109,1.41
Rhys Hoskins,32,94,115,142,71,119,107,104,23.97
Isaac Paredes,26,94,140,91,69,124,102,109,5.74
Brandon Donovan,28,106,134,76,74,125,101,107,0.01
Jake Cronenworth,31,100,129,82,87,131,103,100,6.05
Yandy Diaz,33,102,137,96,65,122,102,101,7.18
Vinnie Pasquantino,27,104,119,95,69,92,97,101,-
Alec Bohm,28,106,105,84,71,127,98,100,-
Carlos Santana,39,94,134,99,78,128,103,97,2.74
Spencer Torkelson,25,97,110,111,68,88,90,103,11.3
Nolan Schannuel,23,106,161,61,94,120,104,113,-
Tyler Black,24,92,123,72,173,71,95,103,-
Spencer Horwitz,27,98,128,95,65,125,97,101,-
Nolan Jones,27,100,119,100,84,66,86,97,-
Tyler Soderstrom,23,96,87,110,65,89,87,100,-
Andrew Vaughn,27,99,89,104,69,132,98,102,0.37
LaMonte Wade Jr.,31,101,143,94,72,96,95,96,2.41
Pavin Smith,29,99,141,122,76,49,90,98,-
Ryan O'Hearn,31,106,99,90,74,104,92,101,5.93
Heston Kjerstad,26,103,88,106,82,79,88,104,-
Kyle Manzardo,24,95,110,109,68,93,91,104,-
Jonathan Aranda,27,99,114,119,66,47,82,101,-
Nick Kurtz,22,106,129,115,86,83,91,96,-
Josh Bell,32,104,114,108,58,126,99,99,2.13
Jared Triolo,27,103,108,78,113,98,93,95,-
Seth Brown,32,102,84,113,76,101,92,90,5.85
Ryan Mountcastle,28,108,77,98,79,103,91,84,-
Bryce Eldridge,20,103,99,101,89,54,87,100,-
Hunter Goodman,25,97,75,129,69,106,88,97,-
Justin Turner,40,107,125,87,65,122,97,89,1.01
Rowdy Tellez,30,96,105,116,63,105,92,92,8.53
David Fry,29,97,98,106,80,92,90,90,-
Tyler Locklear,24,93,81,96,114,61,83,100,-
Deyvison de los Santos,22,93,45,108,71,123,89,95,-
Juan Yepez,27,100,91,90,60,85,82,91,-
Ty France,30,100,90,83,65,125,89,87,2.35
Thomas Saggesse,23,100,74,80,86,87,81,92,-
Donovan Solano,37,112,96,76,73,86,83,83,-
Jose Miranda,27,102,81,78,60,89,80,85,7.9
Miguel Vargas,25,86,127,76,88,80,82,81,-
Cristian Encarnacion Strand,25,94,66,114,77,67,76,81,-
Anthony Rizzo,35,95,106,77,60,70,77,74,0.9
D.J. LeMahieu,36,97,123,73,63,81,78,69,-
Brandon Drury,32,90,92,81,68,104,79,75,-
