Name,fPDurability,fStuff,fControl,fERA,TOTAL
Emmanuel Clase,111,123,142,193,156
Tanner Scott,112,127,108,171,138
Ryan Helsley,87,129,114,163,136
Raisel Iglesias,104,114,135,137,134
Paul Skenes,92,110,114,183,133
Logan Gilbert,115,114,125,139,133
Tarik Skubal,86,115,125,166,131
Blake Snell,75,128,102,188,131
Devin Williams,66,127,104,184,131
Edwin Diaz,90,133,109,141,131
Jason Adam,108,123,118,152,130
Jhoan Duran,93,120,110,146,129
George Kirby,105,102,138,131,128
Jacob deGrom,20,142,149,172,128
Griffin Jax,108,120,129,134,128
Chris Sale,89,110,114,165,127
Logan Webb,109,95,115,156,127
A.J. Puk,105,122,118,144,127
Dylan Cease,97,120,99,152,126
Zack Wheeler,100,110,117,141,126
Josh Hader,101,132,107,117,126
Michael King,87,111,105,168,125
Ryan Walker,103,106,111,134,125
Framber Valdez,95,105,104,163,124
Spencer Schwellenbach,78,106,124,160,124
Mason Miller,79,131,110,124,124
Andres Munoz,87,122,103,136,124
Corbin Burnes,99,115,108,131,122
Cole Ragans,101,110,97,149,122
Bryce Miller,100,108,111,127,121
Zac Gallen,97,104,102,148,121
Jeff Hoffman,93,117,116,124,121
Robert Garcia,99,109,116,144,121
Tanner Bibee,98,105,107,136,120
Kirby Yates,85,110,106,152,120
Aroldis Chapman,94,121,94,143,120
Hunter Brown,98,105,98,144,119
Landon Roupp (SP),80,99,101,182,119
Tyler Holton,99,92,132,149,119
Bryan Abreu,113,123,103,126,119
Yoshinabu Yamamoto,62,112,107,164,118
Gerrit Cole,83,112,110,134,118
Brandon Pfaadt,106,107,111,111,118
Nate Eovaldi,93,101,114,131,118
Lucas Erceg,91,107,104,143,118
Jason Foley,102,95,110,133,118
Bryan Woo,83,104,120,126,117
Cade Smith,56,106,112,150,117
Nick Martinez (SP),139,93,126,104,117
Sonny Gray,89,111,110,120,116
Max Fried,98,98,104,154,116
Felix Bautista,29,137,106,149,116
Robert Suarez,82,111,112,118,116
Justin Martinez,102,108,87,132,116
Orion Kerkering,84,103,110,160,116
Kevin Ginkel,101,105,116,137,116
Matt Strahm,98,106,125,124,115
Craig Yoho,51,110,109,182,115
Garrett Crochet,76,117,95,136,114
Hunter Greene,81,116,104,133,114
Roki Sasaki,70,118,107,131,114
Carlos Rodon,95,114,99,113,114
Griffin Jax,54,118,102,155,114
Porter Hodge,82,100,93,157,114
Shota Imanaga,83,113,120,102,113
Kutter Crawford,101,105,109,119,113
Yusei Kikuchi,92,111,104,111,113
Brandon Woodruff,38,113,116,160,113
Trevor Megill,64,113,109,132,113
Ryan Pressly,85,107,113,123,113
Evan Phillps,96,108,110,119,113
Blake Treinen,73,102,128,143,113
Hunter Gaddis,120,92,121,122,113
Joe Ryan,64,107,121,125,112
Pablo Lopez,93,106,116,113,112
Landon Roupp,80,110,96,168,112
Pete Fairbanks,60,111,109,130,112
Michael Kopech,107,117,96,109,112
Ryan Pepiot,71,112,106,126,111
Seth Lugo,100,96,110,131,111
Kenley Jansen,83,106,107,108,111
Shane Baz,64,112,104,129,110
Tyler Glasnow,56,122,108,124,110
Taj Bradley,98,115,99,106,110
Nick Pivetta,89,116,109,111,110
Drew Rasmussen,27,117,118,163,110
David Bednar,87,113,95,103,110
Carlos Estevez,89,103,109,116,110
Camilo Doval,96,111,92,125,110
Edwin Uceta,65,114,115,131,110
Luke Weaver,102,114,104,101,110
Jose LeClerc,92,116,100,116,110
Cristopher Sanchez,84,98,116,126,109
Aaron Nola,108,105,114,105,109
Alexis Diaz,92,105,95,105,109
Chad Green,96,111,108,103,109
Albert Suarez (SP),132,79,105,104,109
Grayson Rodriguez,66,115,104,116,108
Gavin Williams,80,104,96,132,108
Bailey Ober,86,104,120,111,108
Luis Castillo,89,108,110,119,108
Clay Holmes (SP),89,105,100,133,108
Luis L. Ortiz (SP),130,92,99,101,108
Freddy Peralta,81,105,98,126,107
Tanner Houck,79,100,99,140,107
Bowden Francis,67,102,118,134,107
Nick Martinez,81,96,119,130,107
Jameson Taillon,105,88,116,108,107
Yennier Cano,86,103,104,119,107
Jeremiah Estrada,87,129,102,102,107
Robert Stephenson,61,122,121,106,107
Spencer Strider,39,132,103,119,106
Jared Jones,66,114,99,116,106
Justin Steele,84,100,107,142,106
Kumar Rocker,35,114,104,154,106
Chris Bassitt,98,94,94,125,106
Zebby Matthews,69,103,122,112,106
Drew Rasmussen (SP),38,112,125,133,106
Jacob Misiorowski (SP),70,103,96,139,106
Jose Alvarado,87,104,98,119,106
A.J. Minter,68,108,112,126,106
Manuel Rodriguez,87,97,102,131,106
Sandy Alcantara,43,108,116,125,105
Shohei Ohtani,43,114,99,136,105
Jose Soriano,63,106,93,137,105
MacKenzie Gore,91,107,92,111,105
Hayden Birdsong,88,106,90,123,105
Ben Brown (SP),106,101,96,101,105
Gregory Soto,101,108,97,113,105
Eli Morgan,78,93,122,120,105
Jose Butto,94,102,93,121,105
Cionel Perez,96,92,91,136,105
Sawyer Gipson-Long (SP),55,101,107,142,105
Quinn Mathews,88,107,97,133,104
David Festa,81,109,98,113,104
Spencer Arrighetti,96,102,94,111,104
Bryan Bello,90,99,98,128,104
Zach Eflin,82,94,124,112,104
Ben Joyce,54,107,93,133,104
Kris Bubic (SP),57,100,130,121,104
Michael Otanez,83,113,88,125,104
Shane McClanahan,40,115,106,124,103
Jack Flaherty,74,107,98,117,103
DJ Herz,93,102,92,114,103
Nestor Cortes,74,100,105,128,103
