,BatterName,batter,PA_flag,AB_flag,Is_Hit,PitchesThrown,SwungOn,ContactMade_Foul,IsStrikeout,IsWalk,IsHBP,IsBIP,IsGB,IsLD,IsFB,IsSingle,IsDouble,IsTriple,IsHomer,Cont%,Swing%,K%,BB%,AVG,OBP,SLG,Split,Statcast PC,Statcast BBE,GB%,LD%,FB%,SwtSpot%,Chase%,Brl%,EV 90,xwOBA,xBA
0,Aaron Judge,592450,128.0,111.0,45.0,510,222,154,28,15,2,83,33,21,25,29,7,1,8,0.6936936936936937,0.43529411764705883,0.21875,0.1171875,0.40540540540540543,0.484375,0.7027027027027027,All,510,83,0.39759036144578314,0.25301204819277107,0.30120481927710846,0.40963855421686746,0.19140625,0.24096385542168675,109.82000000000001,0.490504296875,0.34624324324324324
1,Aaron Schunk,668845,21.0,20.0,5.0,70,48,38,5,0,0,16,3,6,5,4,1,0,0,0.7916666666666666,0.6857142857142857,0.23809523809523808,0.0,0.25,0.23809523809523808,0.3,All,70,16,0.1875,0.375,0.3125,0.5,0.5833333333333334,0.0625,99.33,0.26315,0.251952380952381
2,Adael Amador,691182,36.0,32.0,7.0,135,67,49,10,2,1,23,5,7,10,3,3,0,1,0.7313432835820896,0.4962962962962963,0.2777777777777778,0.05555555555555555,0.21875,0.2777777777777778,0.40625,All,135,23,0.21739130434782608,0.30434782608695654,0.43478260869565216,0.43478260869565216,0.21818181818181817,0.043478260869565216,100.07,0.2784792857142857,0.2243939393939394
3,Adam Frazier,624428,93.0,84.0,21.0,364,174,146,15,7,1,70,30,18,19,17,3,0,1,0.8390804597701149,0.47802197802197804,0.16129032258064516,0.07526881720430108,0.25,0.3118279569892473,0.32142857142857145,All,364,70,0.42857142857142855,0.2571428571428571,0.2714285714285714,0.34285714285714286,0.28415300546448086,0.0,95.68,0.2708900537634409,0.23929411764705882
4,Addison Barger,680718,24.0,23.0,5.0,92,47,34,4,1,0,19,7,6,5,2,3,0,0,0.723404255319149,0.5108695652173914,0.16666666666666666,0.041666666666666664,0.21739130434782608,0.25,0.34782608695652173,All,92,19,0.3684210526315789,0.3157894736842105,0.2631578947368421,0.42105263157894735,0.22916666666666666,0.10526315789473684,106.9,0.33266666666666667,0.29256521739130437
5,Adley Rutschman,668939,109.0,94.0,20.0,449,161,138,18,15,0,76,27,19,27,14,2,0,4,0.8571428571428571,0.3585746102449889,0.1651376146788991,0.13761467889908258,0.2127659574468085,0.3211009174311927,0.3617021276595745,All,449,76,0.35526315789473684,0.25,0.35526315789473684,0.3815789473684211,0.17903930131004367,0.10526315789473684,103.7,0.3824587155963303,0.2792978723404255
6,Adolis Garcia,666969,108.0,99.0,20.0,390,232,156,25,5,3,75,20,12,34,10,6,0,4,0.6724137931034483,0.5948717948717949,0.23148148148148148,0.046296296296296294,0.20202020202020202,0.25925925925925924,0.3838383838383838,All,390,75,0.26666666666666666,0.16,0.4533333333333333,0.4,0.45410628019323673,0.17333333333333334,103.16,0.34586412037037034,0.24492
7,Agustin Ramirez,682663,25.0,23.0,9.0,77,43,36,2,2,0,21,6,8,5,2,4,0,3,0.8372093023255814,0.5584415584415584,0.08,0.08,0.391304347826087,0.44,0.9565217391304348,All,77,21,0.2857142857142857,0.38095238095238093,0.23809523809523808,0.47619047619047616,0.38461538461538464,0.19047619047619047,108.8,0.49007999999999996,0.37278260869565216
8,Alan Roden,702176,79.0,69.0,13.0,286,137,107,16,5,3,55,32,7,9,9,3,0,1,0.781021897810219,0.479020979020979,0.20253164556962025,0.06329113924050633,0.18840579710144928,0.26582278481012656,0.2753623188405797,All,286,55,0.5818181818181818,0.12727272727272726,0.16363636363636364,0.2,0.3221476510067114,0.01818181818181818,104.28,0.22728259493670885,0.1594507042253521
9,Alan Trejo,676701,7.0,7.0,2.0,32,14,13,1,0,0,6,1,1,4,1,1,0,0,0.9285714285714286,0.4375,0.14285714285714285,0.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,All,32,6,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.21428571428571427,0.16666666666666666,96.03999999999999,0.3202857142857143,0.2584285714285714
10,Alec Bohm,664761,115.0,109.0,24.0,415,201,173,19,3,2,91,47,21,20,19,4,1,0,0.8606965174129353,0.4843373493975904,0.16521739130434782,0.02608695652173913,0.22018348623853212,0.25217391304347825,0.27522935779816515,All,415,91,0.5164835164835165,0.23076923076923078,0.21978021978021978,0.31868131868131866,0.26063829787234044,0.08791208791208792,103.0,0.30941347826086957,0.27005454545454544
11,Alec Burleson,676475,82.0,77.0,22.0,295,156,130,12,5,0,65,34,11,12,19,3,0,0,0.8333333333333334,0.5288135593220339,0.14634146341463414,0.06097560975609756,0.2857142857142857,0.32926829268292684,0.3246753246753247,All,295,65,0.5230769230769231,0.16923076923076924,0.18461538461538463,0.18461538461538463,0.36423841059602646,0.0,103.79999999999998,0.24736585365853658,0.22520779220779222
12,Alejandro Kirk,672386,84.0,79.0,19.0,311,147,114,11,3,1,69,32,13,17,15,3,0,1,0.7755102040816326,0.47266881028938906,0.13095238095238096,0.03571428571428571,0.24050632911392406,0.27380952380952384,0.31645569620253167,All,311,69,0.463768115942029,0.18840579710144928,0.2463768115942029,0.2898550724637681,0.31724137931034485,0.028985507246376812,103.78,0.27984255952380954,0.261025
13,Alek Thomas,677950,80.0,73.0,21.0,284,152,114,17,4,2,57,31,14,10,14,5,2,0,0.75,0.5352112676056338,0.2125,0.05,0.2876712328767123,0.3375,0.410958904109589,All,284,57,0.543859649122807,0.24561403508771928,0.17543859649122806,0.3333333333333333,0.375,0.10526315789473684,103.48,0.346719375,0.2742702702702703
14,Alex Bregman,608324,132.0,116.0,37.0,521,211,180,24,12,3,93,35,19,32,21,11,0,5,0.8530805687203792,0.4049904030710173,0.18181818181818182,0.09090909090909091,0.31896551724137934,0.3939393939393939,0.5431034482758621,All,521,93,0.3763440860215054,0.20430107526881722,0.34408602150537637,0.3655913978494624,0.16872427983539096,0.0967741935483871,103.4,0.3567448863636364,0.2614102564102564
15,Alex Call,669743,68.0,53.0,18.0,265,93,86,4,11,0,53,22,15,13,14,3,1,0,0.9247311827956989,0.35094339622641507,0.058823529411764705,0.16176470588235295,0.33962264150943394,0.4264705882352941,0.4339622641509434,All,265,53,0.41509433962264153,0.2830188679245283,0.24528301886792453,0.33962264150943394,0.15126050420168066,0.018867924528301886,99.44999999999999,0.35747761194029853,0.2719824561403509
16,Alex Verdugo,657077,43.0,40.0,14.0,168,68,63,3,3,0,37,13,14,7,9,5,0,0,0.9264705882352942,0.40476190476190477,0.06976744186046512,0.06976744186046512,0.35,0.3953488372093023,0.475,All,168,37,0.35135135135135137,0.3783783783783784,0.1891891891891892,0.43243243243243246,0.2054794520547945,0.02702702702702703,101.67,0.36709302325581394,0.341625
17,Alexander Canario,672744,29.0,26.0,2.0,102,55,34,7,3,0,19,6,2,10,1,0,0,1,0.6181818181818182,0.5392156862745098,0.2413793103448276,0.10344827586206896,0.07692307692307693,0.1724137931034483,0.19230769230769232,All,102,19,0.3157894736842105,0.10526315789473684,0.5263157894736842,0.2631578947368421,0.24489795918367346,0.3157894736842105,104.5,0.43165517241379314,0.2441923076923077
18,Amed Rosario,642708,46.0,45.0,11.0,134,77,59,4,1,0,41,18,9,9,7,3,0,1,0.7662337662337663,0.5746268656716418,0.08695652173913043,0.021739130434782608,0.24444444444444444,0.2608695652173913,0.37777777777777777,All,134,41,0.43902439024390244,0.21951219512195122,0.21951219512195122,0.3170731707317073,0.36363636363636365,0.04878048780487805,105.7,0.32173913043478264,0.2750888888888889
19,Andres Gimenez,665926,117.0,102.0,18.0,469,220,170,22,10,4,81,38,18,23,11,4,0,3,0.7727272727272727,0.4690831556503198,0.18803418803418803,0.08547008547008547,0.17647058823529413,0.27350427350427353,0.30392156862745096,All,469,81,0.4691358024691358,0.2222222222222222,0.2839506172839506,0.2962962962962963,0.31390134529147984,0.037037037037037035,100.49,0.31910956410256414,0.23468932038834953
