,BatterName,batter,PA_flag,AB,IsHit,PitchesThrown,SwungOn,ContactMade,IsStrikeout,IsWalk,IsHBP,IsBIP,IsGB,IsLD,IsFB,IsSingle,IsDouble,IsTriple,IsHomer,Cont%,Swing%,K%,BB%,AVG,OBP,SLG,Split,Statcast PC,Statcast BBE,GB%,LD%,FB%,SwtSpot%,Chase%,EV 90
0,A.J. Ewing,805999,80,65,26,308,121,103,10,14,0,56,17,25,12,18,3,4,1,0.8512396694214877,0.39285714285714285,0.125,0.175,0.4,0.5,0.6153846153846154,All,308.0,56.0,0.30357142857142855,0.44642857142857145,0.21428571428571427,0.4642857142857143,0.13924050632911392,103.6
1,A.J. Vukovich,691021,72,66,21,280,138,97,18,4,1,49,22,14,8,13,3,0,5,0.7028985507246377,0.4928571428571429,0.25,0.05555555555555555,0.3181818181818182,0.3611111111111111,0.5909090909090909,All,259.0,45.0,0.4888888888888889,0.3111111111111111,0.17777777777777778,0.37777777777777777,0.2926829268292683,106.46
2,Aaron Bracho,677570,72,67,14,287,152,120,21,3,1,47,0,0,0,9,2,0,3,0.7894736842105263,0.5296167247386759,0.2916666666666667,0.041666666666666664,0.208955223880597,0.25,0.373134328358209,All,,,,,,,,
3,Aaron McKeithan,702463,37,32,5,122,53,47,3,4,1,29,0,0,0,5,0,0,0,0.8867924528301887,0.4344262295081967,0.08108108108108109,0.10810810810810811,0.15625,0.2702702702702703,0.15625,All,,,,,,,,
4,Aaron Parker,801590,51,46,13,191,107,79,11,3,2,35,0,0,0,7,4,0,2,0.7383177570093458,0.5602094240837696,0.21568627450980393,0.058823529411764705,0.2826086956521739,0.35294117647058826,0.5,All,,,,,,,,
5,Aaron Sabato,693306,53,42,9,209,94,71,13,8,2,30,5,2,7,6,2,0,1,0.7553191489361702,0.44976076555023925,0.24528301886792453,0.1509433962264151,0.21428571428571427,0.3584905660377358,0.3333333333333333,All,80.0,14.0,0.35714285714285715,0.14285714285714285,0.5,0.14285714285714285,0.22916666666666666,102.18
6,Aaron Schunk,668845,52,46,13,178,88,71,9,5,0,38,12,13,10,10,0,2,1,0.8068181818181818,0.4943820224719101,0.17307692307692307,0.09615384615384616,0.2826086956521739,0.34615384615384615,0.43478260869565216,All,178.0,38.0,0.3157894736842105,0.34210526315789475,0.2631578947368421,0.3684210526315789,0.28125,103.2
7,Aaron Zavala,701648,61,41,6,256,103,73,16,16,1,28,0,0,0,3,2,0,1,0.7087378640776699,0.40234375,0.26229508196721313,0.26229508196721313,0.14634146341463414,0.3770491803278688,0.2682926829268293,All,,,,,,,,
8,Abdias De La Cruz,703192,71,61,13,271,136,103,14,7,1,49,0,0,0,5,6,2,0,0.7573529411764706,0.5018450184501845,0.19718309859154928,0.09859154929577464,0.21311475409836064,0.29577464788732394,0.3770491803278688,All,,,,,,,,
9,Abel Bastidas,694201,30,29,9,106,59,37,10,1,0,19,0,0,0,7,1,1,0,0.6271186440677966,0.5566037735849056,0.3333333333333333,0.03333333333333333,0.3103448275862069,0.3333333333333333,0.41379310344827586,All,,,,,,,,
10,Abimelec Ortiz,694673,86,75,18,354,171,128,21,9,2,54,0,0,0,11,5,0,2,0.7485380116959064,0.4830508474576271,0.2441860465116279,0.10465116279069768,0.24,0.3372093023255814,0.38666666666666666,All,,,,,,,,
11,Abraham Nunez,808041,8,8,2,24,12,10,1,0,0,7,0,0,0,1,1,0,0,0.8333333333333334,0.5,0.125,0.0,0.25,0.25,0.375,All,,,,,,,,
12,Abraham Toro,647351,103,86,29,432,193,143,21,14,2,67,24,18,20,19,6,2,2,0.7409326424870466,0.44675925925925924,0.20388349514563106,0.13592233009708737,0.3372093023255814,0.4368932038834951,0.5232558139534884,All,432.0,67.0,0.3582089552238806,0.26865671641791045,0.29850746268656714,0.3582089552238806,0.21973094170403587,104.9
13,Abrahan Gutierrez,670868,36,32,10,141,68,53,6,3,1,26,13,7,6,9,0,0,1,0.7794117647058824,0.48226950354609927,0.16666666666666666,0.08333333333333333,0.3125,0.3888888888888889,0.40625,All,141.0,26.0,0.5,0.2692307692307692,0.23076923076923078,0.3076923076923077,0.2777777777777778,101.75
14,Abrahan Ramirez,800254,64,49,12,260,89,69,15,14,0,35,8,7,3,8,3,1,0,0.7752808988764045,0.3423076923076923,0.234375,0.21875,0.24489795918367346,0.40625,0.3469387755102041,All,176.0,19.0,0.42105263157894735,0.3684210526315789,0.15789473684210525,0.47368421052631576,0.14705882352941177,97.74000000000001
15,Adael Amador,691182,49,40,11,170,72,55,4,8,1,36,21,6,8,8,1,0,2,0.7638888888888888,0.4235294117647059,0.08163265306122448,0.16326530612244897,0.275,0.40816326530612246,0.45,All,170.0,36.0,0.5833333333333334,0.16666666666666666,0.2222222222222222,0.25,0.19318181818181818,104.46000000000001
16,Adam Hackenberg,680753,48,43,9,203,92,66,15,7,0,27,0,0,0,5,3,0,1,0.717391304347826,0.45320197044334976,0.3125,0.14583333333333334,0.20930232558139536,0.3333333333333333,0.3488372093023256,All,,,,,,,,
17,Adam Hall,647228,46,42,10,179,85,62,17,4,1,25,12,4,5,8,2,0,0,0.7294117647058823,0.4748603351955307,0.3695652173913043,0.08695652173913043,0.23809523809523808,0.32608695652173914,0.2857142857142857,All,179.0,25.0,0.48,0.16,0.2,0.16,0.27586206896551724,102.86
18,Adam Retzbach,806273,52,45,10,188,90,55,19,3,3,27,0,0,0,5,2,0,3,0.6111111111111112,0.4787234042553192,0.36538461538461536,0.057692307692307696,0.2222222222222222,0.3076923076923077,0.4666666666666667,All,,,,,,,,
19,Adam Zebrowski,700845,55,48,7,209,98,66,15,7,0,33,0,0,0,7,0,0,0,0.673469387755102,0.4688995215311005,0.2727272727272727,0.12727272727272726,0.14583333333333334,0.2545454545454545,0.14583333333333334,All,,,,,,,,
20,Addison Barger,680718,45,38,8,192,97,71,13,5,1,26,10,6,8,4,2,0,2,0.7319587628865979,0.5052083333333334,0.28888888888888886,0.1111111111111111,0.21052631578947367,0.3111111111111111,0.42105263157894735,All,192.0,26.0,0.38461538461538464,0.23076923076923078,0.3076923076923077,0.2692307692307692,0.4090909090909091,111.9
21,Addison Kopack,688551,25,19,3,108,41,32,9,4,0,12,0,0,0,3,0,0,0,0.7804878048780488,0.37962962962962965,0.36,0.16,0.15789473684210525,0.28,0.15789473684210525,All,,,,,,,,
22,Adrian De Leon,700369,58,50,11,252,93,60,22,5,0,31,0,0,0,6,3,0,2,0.6451612903225806,0.36904761904761907,0.3793103448275862,0.08620689655172414,0.22,0.27586206896551724,0.4,All,,,,,,,,
23,Adrian Pinto,691437,64,57,14,250,107,88,11,7,0,46,0,0,0,8,2,0,4,0.822429906542056,0.428,0.171875,0.109375,0.24561403508771928,0.328125,0.49122807017543857,All,,,,,,,,
24,Adrian Placencia,691269,76,61,18,321,131,75,23,14,1,38,0,0,0,12,3,1,2,0.5725190839694656,0.40809968847352024,0.3026315789473684,0.18421052631578946,0.29508196721311475,0.4342105263157895,0.47540983606557374,All,,,,,,,,
25,Adrian Rodriguez,703641,53,44,13,201,86,58,17,6,1,29,0,0,0,11,1,1,0,0.6744186046511628,0.42786069651741293,0.32075471698113206,0.11320754716981132,0.29545454545454547,0.37735849056603776,0.36363636363636365,All,,,,,,,,
26,Adrian Santana,803745,81,76,19,283,152,126,13,5,0,63,0,0,0,14,3,2,0,0.8289473684210527,0.5371024734982333,0.16049382716049382,0.06172839506172839,0.25,0.2962962962962963,0.34210526315789475,All,,,,,,,,
