,Player,Team,FGID,SAVID,Age,PA,AB,BIP,K,K%,BB,BB%,SF,HBP,BABIP,Brl%,Solid%,Flare%,Topped%,Under%,Weak%,H,1B,2B,3B,HR,TB,AVG,OBP,SLG,OPS,R,RBI,SB Att,SB,CS,Pos,$,Deep $,G
0,Shohei Ohtani,LAD,19755,660271.0,30,680.0,578.0,424.0,156.0,0.2299,95.0,0.13927406015037594,3.0,4.0,0.385,0.188,0.078,0.218,0.276,0.213,0.027,163.0,78.0,35.0,5.0,45.0,367.0,0.283,0.386,0.595,0.981,127.0,97.0,32.9,28.2,5.0,"UT, P",20.28,13.79,151.0
0,Aaron Judge,NYY,15640,592450.0,32,648.0,516.0,351.0,168.0,0.25962,124.0,0.19108201376936315,3.0,5.0,0.411,0.24,0.083,0.212,0.216,0.229,0.02,144.0,67.0,29.0,1.0,47.0,324.0,0.279,0.421,0.613,1.034,112.0,106.0,9.8,8.6,1.0,OF,18.13,11.95,144.0
0,Bobby Witt Jr.,KC,25764,677951.0,24,670.0,609.0,501.0,110.0,0.164692,54.0,0.07982425924040322,3.0,5.0,0.371,0.137,0.061,0.246,0.28,0.246,0.029,186.0,105.0,36.0,10.0,35.0,362.0,0.305,0.365,0.568,0.933,112.0,102.0,31.1,23.8,7.0,SS,17.64,12.37,149.0
0,Elly De La Cruz,CIN,26668,682829.0,23,652.0,579.0,382.0,199.0,0.30588,66.0,0.10181784124157231,2.0,4.0,0.381,0.122,0.059,0.243,0.353,0.185,0.037,145.0,80.0,32.0,4.0,29.0,307.0,0.251,0.331,0.47,0.801,95.0,92.0,59.2,47.1,12.0,SS,16.84,12.31,145.0
0,Juan Soto,NYM,20123,665742.0,26,674.0,543.0,425.0,120.0,0.1783,126.0,0.18680279380717804,3.0,3.0,0.368,0.16,0.066,0.232,0.311,0.192,0.04,157.0,85.0,30.0,2.0,39.0,314.0,0.289,0.423,0.569,0.993,113.0,97.0,11.8,8.5,3.0,OF,16.25,10.88,150.0
0,Fernando Tatis Jr.,SD,19709,665487.0,26,644.0,584.0,444.0,142.0,0.22089999999999999,52.0,0.08137142857142858,2.0,5.0,0.359,0.122,0.07,0.248,0.318,0.206,0.036,160.0,95.0,32.0,2.0,32.0,302.0,0.273,0.337,0.496,0.832,101.0,95.0,17.3,14.7,3.0,OF,14.86,10.21,143.0
0,Gunnar Henderson,BAL,26289,683002.0,23,669.0,593.0,442.0,154.0,0.22958800000000001,70.0,0.10409713966123363,2.0,4.0,0.367,0.118,0.079,0.245,0.335,0.188,0.036,162.0,93.0,30.0,4.0,35.0,317.0,0.273,0.352,0.514,0.866,112.0,87.0,19.7,16.0,4.0,SS,14.81,10.53,149.0
0,Jose Ramirez,CLE,13510,608070.0,32,664.0,587.0,504.0,85.0,0.12746,71.0,0.10693675476017064,2.0,4.0,0.315,0.08,0.074,0.226,0.269,0.32,0.031,159.0,94.0,35.0,3.0,26.0,305.0,0.271,0.352,0.475,0.826,103.0,91.0,43.0,34.6,8.0,3B,14.52,11.17,148.0
0,Francisco Lindor,NYM,12916,596019.0,31,675.0,604.0,475.0,131.0,0.19360000000000002,59.0,0.08805220099667774,2.0,10.0,0.342,0.118,0.062,0.251,0.248,0.287,0.034,163.0,97.0,32.0,2.0,32.0,313.0,0.269,0.343,0.488,0.832,106.0,82.0,25.9,22.3,4.0,SS,14.29,10.38,150.0
0,Corbin Carroll,ARI,25878,682998.0,24,660.0,579.0,454.0,127.0,0.192108,68.0,0.10267719122863594,2.0,11.0,0.326,0.082,0.07,0.214,0.352,0.237,0.045,148.0,87.0,30.0,7.0,24.0,290.0,0.255,0.343,0.454,0.797,104.0,75.0,36.7,31.7,5.0,OF,14.21,10.21,147.0
0,Kyle Tucker,CHC,18345,663656.0,28,648.0,552.0,454.0,100.0,0.155,92.0,0.14182021576646453,2.0,2.0,0.343,0.111,0.075,0.246,0.248,0.288,0.033,156.0,89.0,33.0,3.0,30.0,298.0,0.282,0.385,0.517,0.902,101.0,89.0,16.3,14.2,2.0,OF,14.07,9.77,144.0
0,Julio Rodriguez,SEA,23697,677594.0,24,650.0,592.0,436.0,159.0,0.24427600000000002,47.0,0.07308629238884704,2.0,8.0,0.364,0.113,0.064,0.243,0.348,0.198,0.033,158.0,97.0,30.0,2.0,29.0,295.0,0.268,0.329,0.475,0.804,99.0,87.0,22.5,17.9,5.0,OF,13.91,9.74,144.0
0,Jackson Merrill,SD,29490,701538.0,21,634.0,596.0,489.0,109.0,0.172664,34.0,0.05362904119489279,2.0,1.0,0.352,0.118,0.074,0.256,0.276,0.242,0.034,172.0,101.0,38.0,3.0,30.0,318.0,0.289,0.327,0.514,0.841,86.0,94.0,18.2,14.9,3.0,OF,13.72,9.64,141.0
