,Player,Team,SAVID,$,PA,PA 600,AB,R,HR,RBI,SB,AVG,OBP,SLG,K,BB,H,FPts,Proj Rank,ADP,ADP Rank,Rank Diff
0,Shohei Ohtani,LAD,660271.0,22.45,680.0,600,510,112,40,89,24,0.282,0.385,0.593,137,83,143,1483,1.0,1.4066666666666667,1.0,0.0
1,Bobby Witt Jr.,KC,677951.0,19.71,670.0,600,545,100,31,91,26,0.305,0.365,0.567,98,48,165,1434,2.0,1.7133333333333334,2.0,0.0
2,Aaron Judge,NYY,592450.0,21.54,648.0,600,477,104,43,98,7,0.279,0.421,0.614,155,114,133,1421,3.0,3.053333333333333,3.0,0.0
3,Elly De La Cruz,CIN,682829.0,17.11,652.0,600,532,88,26,80,42,0.251,0.331,0.47,183,60,133,1320,6.0,4.553333333333334,4.0,2.0
4,Juan Soto,NYM,665742.0,18.2,674.0,600,483,101,34,86,8,0.288,0.423,0.569,106,112,139,1345,4.0,7.686666666666666,7.0,-3.0
5,Fernando Tatis Jr.,SD,665487.0,17.83,644.0,600,544,95,29,89,17,0.273,0.337,0.495,132,48,149,1264,12.5,10.346666666666666,10.0,2.5
6,Kyle Tucker,CHC,663656.0,16.93,648.0,600,511,95,27,83,18,0.282,0.385,0.517,92,85,144,1300,10.0,7.926666666666667,8.0,2.0
7,Gunnar Henderson,BAL,683002.0,15.99,669.0,600,531,100,31,78,13,0.272,0.352,0.512,138,62,144,1264,12.5,5.8533333333333335,6.0,6.5
8,Francisco Lindor,NYM,596019.0,14.77,675.0,600,536,94,28,72,20,0.269,0.343,0.488,116,52,144,1238,17.0,14.653333333333334,14.0,3.0
9,Corbin Carroll,ARI,682998.0,15.11,660.0,600,526,95,21,68,30,0.255,0.343,0.453,115,61,134,1248,15.0,10.053333333333333,9.0,6.0
10,Jose Ramirez,CLE,608070.0,15.11,662.0,600,530,86,23,92,27,0.271,0.352,0.475,76,64,143,1281,11.0,5.193333333333333,5.0,6.0
11,Julio Rodriguez,SEA,677594.0,15.77,650.0,600,546,91,26,80,19,0.267,0.329,0.474,146,43,145,1204,25.0,13.853333333333332,12.0,13.0
12,Jackson Chourio,MIL,694192.0,15.31,640.0,600,553,93,23,73,24,0.269,0.323,0.456,125,42,149,1208,24.0,17.473333333333333,16.0,8.0
