,Pitcher,Team,FGID,SAVID,TBF,IP,GS,H,R,W,QS,SV,ER,HR,HR/9,K%,K/9,K,BB,BB/9,BB%,HBP,1B,2B,3B,ERA,WHIP,GB%,LD%,FB%,FB,GB,LD,Unnamed: 0,System,ADP,xMLBAMID,L,G,HLD,BS,IBB,K/BB,K-BB%,AVG,BABIP,LOB%,FIP,MLBID,$,Deep $
0,Logan Webb,SF,17995,657277.0,819.0,192.8,31.0,182.92000000000002,83.42,12.0,20.1,0.0,77.0,18.0,0.8,0.215,8.2,176.0,44.0,2.1,0.054,5.0,126.04,35.88,3.0,3.59,1.18,0.581,0.217,0.171,129.08450000000002,302.79449999999997,136.8715,,,,,,,,,,,,,,,,,11.57,8.81
1,Logan Gilbert,SEA,22250,669302.0,785.0,192.5,31.0,157.72,79.53999999999999,11.0,17.3,0.0,73.0,25.0,1.2,0.26,9.5,204.0,39.0,1.8,0.05,4.0,100.28,29.44,3.0,3.41,1.02,0.422,0.243,0.266,142.546,230.892,130.893,,,,,,,,,,,,,,,,,15.76,11.36
2,Zack Wheeler,PHI,10310,554430.0,786.0,187.6,31.0,161.0,81.48,14.0,20.2,0.0,75.0,20.0,1.0,0.272,10.3,214.0,50.0,2.4,0.064,9.0,105.80000000000001,32.2,3.0,3.6,1.12,0.423,0.244,0.264,136.764,222.63299999999998,126.324,,,,,,,,,,,,,,,,,13.8,10.05
3,Pablo Lopez,MIN,17085,641154.0,775.0,185.4,31.0,160.48000000000002,83.42,12.0,16.6,0.0,77.0,25.0,1.2,0.262,9.9,203.0,46.0,2.2,0.059,8.0,102.12,30.360000000000003,3.0,3.74,1.11,0.435,0.242,0.257,135.971,227.495,126.76599999999999,,,,,,,,,,,,,,,,,12.37,9.15
4,Tarik Skubal,DET,22267,669373.0,747.0,184.9,30.0,142.44,69.84,10.0,14.3,0.0,64.0,18.0,0.9,0.297,10.8,222.0,39.0,1.9,0.052,6.0,93.84,27.6,3.0,3.12,0.98,0.459,0.239,0.242,121.986,216.02700000000002,116.39699999999999,,,,,,,,,,,,,,,,,18.06,12.82
5,Jose Berrios,TOR,14168,621244.0,793.0,184.3,31.0,173.60000000000002,93.12,12.0,18.0,0.0,86.0,29.0,1.4,0.212,8.2,168.0,54.0,2.6,0.068,11.0,109.48,33.120000000000005,2.0,4.2,1.23,0.428,0.243,0.262,149.031,244.959,137.8965,,,,,,,,,,,,,,,,,7.03,5.81
6,Seth Lugo,KC,12447,607625.0,779.0,183.7,30.0,168.44,83.42,13.0,18.8,0.0,77.0,20.0,1.0,0.201,7.7,157.0,47.0,2.3,0.06,7.0,109.48,34.96,4.0,3.77,1.17,0.465,0.241,0.235,142.3125,257.3125,138.2875,,,,,,,,,,,,,,,,,10.44,8.1
7,Kevin Gausman,TOR,14107,592332.0,772.0,183.6,31.0,152.64000000000001,77.6,13.0,18.4,0.0,72.0,19.0,0.9,0.243,9.2,188.0,57.0,2.8,0.074,2.0,100.28,30.360000000000003,3.0,3.53,1.14,0.418,0.243,0.268,139.12800000000001,223.448,127.2705,,,,,,,,,,,,,,,,,12.94,9.63
8,Corbin Burnes,ARI,19361,669203.0,777.0,182.7,30.0,162.16000000000003,84.39,13.0,18.4,0.0,78.0,22.0,1.1,0.237,9.1,184.0,55.0,2.7,0.071,8.0,105.80000000000001,30.360000000000003,4.0,3.84,1.19,0.466,0.241,0.235,133.155,241.024,129.38899999999998,,,,,,,,,,,,,,,,,10.39,7.96
9,Aaron Nola,PHI,16149,605400.0,774.0,181.9,30.0,167.16000000000003,87.3,13.0,18.4,0.0,81.0,28.0,1.4,0.242,9.3,187.0,49.0,2.4,0.063,4.0,103.04,33.120000000000005,3.0,4.01,1.19,0.436,0.242,0.256,138.804,232.954,129.658,,,,,,,,,,,,,,,,,9.59,7.39
10,Dylan Cease,SD,18525,656302.0,761.0,180.7,31.0,141.52,76.63,11.0,15.1,0.0,71.0,18.0,0.9,0.279,10.6,212.0,67.0,3.3,0.088,5.0,92.92,27.6,3.0,3.54,1.15,0.403,0.243,0.277,129.417,200.753,116.40299999999999,,,,,,,,,,,,,,,,,12.69,9.4
11,Framber Valdez,HOU,17295,664285.0,767.0,180.4,29.0,155.48000000000002,81.48,13.0,19.4,0.0,75.0,20.0,1.0,0.243,9.3,186.0,59.0,2.9,0.077,9.0,103.96000000000001,28.52,3.0,3.74,1.19,0.611,0.205,0.153,107.793,271.70099999999996,116.14499999999998,,,,,,,,,,,,,,,,,10.75,8.2
