,Pitcher,Team,$,GS,IP,IP 180,K,ERA,WHIP,W,H,ER,FPts,Proj Rank,ADP,ADP Rank,Rank Diff
3,Tarik Skubal,DET,20.39,30.0,186.6,180,221,3.05,0.94,9,136,61,670.85,1.0,15.2,3.0,-2.0
0,Logan Gilbert,SEA,20.08,31.0,195.5,180,209,3.25,0.96,11,140,65,665.68,2.0,27.626666666666665,5.0,-3.0
20,Paul Skenes,PIT,19.94,30.0,175.6,180,239,3.25,1.02,10,134,65,668.5,3.0,12.446666666666667,2.0,1.0
2,Zack Wheeler,PHI,19.28,31.0,189.8,180,216,3.45,1.07,13,149,69,651.85,4.0,21.41333333333333,4.0,0.0
66,Blake Snell,LAD,18.16,28.0,158.7,180,244,3.45,1.14,13,126,69,634.88,5.0,53.54,13.0,-8.0
27,Sonny Gray,STL,18.1,28.0,172.0,180,208,3.15,1.02,10,143,63,603.0,6.0,123.77333333333333,37.0,-31.0
54,Chris Sale,ATL,17.96,28.0,162.2,180,229,3.45,1.05,13,142,69,617.55,7.0,39.68,8.0,-1.0
156,Jacob deGrom,TEX,17.85,22.0,124.2,180,253,2.85,0.88,13,125,57,627.45,8.0,45.32666666666667,11.0,-3.0
18,Cole Ragans,KC,17.72,30.0,176.9,180,216,3.6,1.17,10,139,72,597.03,9.0,43.49333333333333,9.0,0.0
15,Dylan Cease,SD,17.58,31.0,179.6,180,210,3.6,1.18,12,141,72,597.9,10.0,47.333333333333336,12.0,-2.0
36,Yusei Kikuchi,LAA,17.24,30.0,171.0,180,218,3.85,1.12,10,153,77,581.95,11.0,165.54666666666665,47.0,-36.0
74,Garrett Crochet,BOS,17.11,30.0,153.6,180,228,3.5,1.08,11,146,70,585.0,12.0,30.99333333333333,6.0,6.0
17,Gerrit Cole,NYY,16.89,29.0,177.0,180,196,3.65,1.09,13,149,73,574.45,13.0,61.17333333333333,15.0,-2.0
38,Bailey Ober,MIN,16.74,29.0,169.8,180,200,3.6,1.07,10,150,72,558.05,14.0,88.43333333333334,21.0,-7.0
11,Luis Castillo,SEA,16.61,30.0,180.0,180,189,3.7,1.11,11,153,74,555.4,15.0,94.14666666666666,25.0,-10.0
49,Carlos Rodon,NYY,16.52,29.0,164.3,180,212,3.7,1.14,12,139,74,566.47,16.0,141.11333333333334,41.0,-25.0
29,Shota Imanaga,CHC,16.44,28.0,171.8,180,190,3.55,1.07,11,153,71,551.55,17.0,76.43333333333334,19.0,-2.0
37,Michael King,SD,16.42,30.0,170.3,180,205,3.75,1.17,10,151,75,553.57,18.0,62.766666666666666,16.0,2.0
117,Roki Sasaki,LAD,16.38,24.3,138.51,180,232,3.3,1.1,12,143,66,568.93,19.0,96.4090909090909,26.0,-7.0
5,Pablo Lopez,MIN,16.34,31.0,184.3,180,184,3.85,1.14,10,163,77,540.88,20.0,68.58,18.0,2.0
9,Framber Valdez,HOU,16.29,29.0,180.6,180,185,3.65,1.17,12,154,73,546.35,21.0,66.88666666666667,17.0,4.0
52,Reynaldo Lopez,ATL,16.28,29.0,163.6,180,200,3.5,1.11,12,148,70,554.9,22.0,162.14,46.0,-24.0
68,Hunter Greene,CIN,16.15,26.0,158.0,180,218,3.9,1.13,10,141,78,544.1,23.0,100.16666666666669,28.0,-5.0
67,Joe Ryan,MIN,16.08,27.0,158.5,180,202,3.6,1.04,10,150,72,539.62,24.0,107.14,31.0,-7.0
133,Tyler Glasnow,LAD,16.07,23.0,133.1,180,231,3.3,1.06,14,138,66,570.87,25.0,96.51333333333334,27.0,-2.0
8,Aaron Nola,PHI,15.99,30.0,182.2,180,187,4.0,1.18,12,164,80,542.35,26.5,91.79333333333334,22.0,4.5
87,Nick Pivetta,SD,15.99,27.0,149.3,180,212,3.45,1.07,12,144,69,551.72,26.5,214.74444444444444,62.0,-35.5
35,Bryce Miller,SEA,15.91,30.0,171.2,180,181,3.55,1.06,9,150,71,523.0,28.0,83.34666666666666,20.0,8.0
7,Corbin Burnes,ARI,15.86,30.0,182.8,180,177,3.75,1.18,12,160,75,531.3,29.0,35.086666666666666,7.0,22.0
48,Spencer Schwellenbach,ATL,15.8,28.0,164.6,180,194,3.7,1.1,13,158,74,538.75,30.0,93.17333333333332,23.0,7.0
77,Yoshinobu Yamamoto,LAD,15.75,27.0,152.1,180,204,3.45,1.08,14,148,69,550.02,31.0,59.5,14.0,17.0
91,Shane McClanahan,TB,15.54,25.0,148.5,180,210,3.55,1.11,10,147,71,531.52,32.5,116.5,35.0,-2.5
39,Tanner Bibee,CLE,15.54,29.0,169.1,180,184,3.65,1.12,10,151,73,517.07,32.5,106.0,29.0,3.5
56,Jack Flaherty,DET,15.49,28.0,160.9,180,201,3.8,1.16,10,151,76,520.63,34.0,145.6547619047619,42.0,-8.0
