,player_name,pitcher,pitch_type,PC,%,Velo,SwStr%,Strike%,Ball%,GB%
0,A.J. Minter,621345,CH,18,0.097,86.2,0.167,0.222,0.722,1.0
1,A.J. Minter,621345,FC,88,0.476,89.4,0.17,0.455,0.386,0.714
2,A.J. Minter,621345,FF,79,0.427,94.5,0.089,0.519,0.354,0.1
3,A.J. Puk,640462,FF,97,0.622,96.4,0.186,0.639,0.247,0.273
4,A.J. Puk,640462,SI,2,0.013,95.8,0.0,0.0,1.0,
5,A.J. Puk,640462,SL,56,0.359,85.5,0.161,0.429,0.411,0.222
6,A.J. Puk,640462,ST,1,0.006,82.8,0.0,0.0,1.0,
7,AJ Smith-Shawver,700363,CU,49,0.196,77.6,0.061,0.347,0.551,0.6
8,AJ Smith-Shawver,700363,FF,92,0.368,94.6,0.065,0.37,0.435,0.278
9,AJ Smith-Shawver,700363,FS,89,0.356,83.2,0.27,0.539,0.303,0.357
10,AJ Smith-Shawver,700363,SL,20,0.08,87.0,0.0,0.45,0.4,0.333
11,Aaron Bummer,607481,CU,44,0.211,81.4,0.205,0.614,0.25,0.5
12,Aaron Bummer,607481,FF,28,0.134,92.0,0.036,0.607,0.286,0.667
13,Aaron Bummer,607481,SI,69,0.33,91.2,0.043,0.565,0.275,0.636
14,Aaron Bummer,607481,ST,68,0.325,81.3,0.103,0.397,0.471,0.556
15,Aaron Civale,650644,CU,7,0.103,77.4,0.0,0.571,0.429,
16,Aaron Civale,650644,FC,30,0.441,88.5,0.133,0.567,0.3,0.25
17,Aaron Civale,650644,FF,7,0.103,91.5,0.0,0.286,0.429,0.0
18,Aaron Civale,650644,FS,3,0.044,85.3,0.0,0.0,0.667,0.0
19,Aaron Civale,650644,SI,15,0.221,91.4,0.067,0.4,0.4,0.333
20,Aaron Civale,650644,ST,6,0.088,80.6,0.0,0.667,0.167,0.0
21,Aaron Nola,605400,CH,91,0.156,84.3,0.176,0.374,0.451,0.375
22,Aaron Nola,605400,CU,166,0.284,77.8,0.193,0.548,0.295,0.462
23,Aaron Nola,605400,FC,55,0.094,86.0,0.182,0.436,0.4,0.222
24,Aaron Nola,605400,FF,138,0.236,91.3,0.065,0.486,0.355,0.318
25,Aaron Nola,605400,SI,134,0.229,90.2,0.06,0.5,0.299,0.63
26,Abner Uribe,682842,FF,1,0.005,99.3,0.0,1.0,0.0,
27,Abner Uribe,682842,SI,105,0.574,98.6,0.048,0.381,0.41,0.727
28,Abner Uribe,682842,SL,77,0.421,87.2,0.221,0.545,0.351,0.375
29,Adam Ottavino,493603,FC,3,0.071,86.9,0.0,0.333,0.667,
30,Adam Ottavino,493603,FF,10,0.238,93.1,0.1,0.3,0.7,
31,Adam Ottavino,493603,SI,15,0.357,92.3,0.067,0.467,0.467,0.0
32,Adam Ottavino,493603,ST,14,0.333,78.7,0.143,0.643,0.286,0.0
33,Adrian Morejon,670970,FC,25,0.132,93.8,0.04,0.36,0.4,0.5
34,Adrian Morejon,670970,FF,17,0.089,95.9,0.118,0.471,0.529,
35,Adrian Morejon,670970,FS,5,0.026,86.3,0.0,0.2,0.6,1.0
36,Adrian Morejon,670970,SI,116,0.611,97.2,0.078,0.44,0.31,0.517
37,Adrian Morejon,670970,SL,27,0.142,87.8,0.259,0.481,0.296,0.5
38,Albert Suarez,544150,CH,4,0.103,85.0,0.25,0.5,0.25,1.0
39,Albert Suarez,544150,CU,2,0.051,78.3,0.0,0.0,0.5,1.0
40,Albert Suarez,544150,FC,12,0.308,85.4,0.167,0.333,0.417,0.333
41,Albert Suarez,544150,FF,17,0.436,93.0,0.118,0.471,0.353,0.667
42,Albert Suarez,544150,SV,4,0.103,80.1,0.0,0.5,0.25,0.0
43,Alek Jacob,689690,CH,87,0.341,74.4,0.115,0.517,0.241,0.381
44,Alek Jacob,689690,FF,94,0.369,85.6,0.138,0.574,0.309,0.364
45,Alek Jacob,689690,SI,41,0.161,84.0,0.049,0.439,0.317,0.2
46,Alek Jacob,689690,ST,33,0.129,72.1,0.091,0.364,0.545,0.333
47,Alex Vesia,681911,CH,11,0.044,84.0,0.091,0.455,0.455,1.0
48,Alex Vesia,681911,FF,132,0.528,92.2,0.167,0.606,0.265,0.118
49,Alex Vesia,681911,SL,107,0.428,83.7,0.168,0.523,0.393,0.556
50,Alexis Diaz,664747,FF,70,0.722,93.0,0.1,0.5,0.371,0.333
51,Alexis Diaz,664747,SL,27,0.278,87.6,0.074,0.333,0.407,0.143
52,Andre Pallante,669467,CU,42,0.095,78.0,0.071,0.214,0.619,0.857
53,Andre Pallante,669467,FF,240,0.544,93.7,0.096,0.438,0.354,0.7
54,Andre Pallante,669467,SI,49,0.111,94.3,0.041,0.347,0.408,0.667
55,Andre Pallante,669467,SL,110,0.249,86.6,0.182,0.4,0.445,0.529
56,Andres Munoz,662253,CH,3,0.015,91.2,0.0,0.333,0.333,1.0
57,Andres Munoz,662253,FF,77,0.376,98.7,0.117,0.494,0.364,0.727
58,Andres Munoz,662253,SI,30,0.146,98.2,0.0,0.333,0.533,1.0
59,Andres Munoz,662253,SL,95,0.463,87.3,0.305,0.537,0.347,0.545
60,Andrew Abbott,671096,CH,55,0.213,83.9,0.218,0.382,0.455,0.333
61,Andrew Abbott,671096,CU,45,0.174,80.0,0.133,0.533,0.4,0.667
62,Andrew Abbott,671096,FC,10,0.039,88.0,0.0,0.3,0.5,0.5
63,Andrew Abbott,671096,FF,126,0.488,91.2,0.095,0.484,0.373,0.111
64,Andrew Abbott,671096,ST,22,0.085,81.8,0.091,0.318,0.636,0.0
65,Andrew Heaney,571760,CH,99,0.216,81.9,0.131,0.354,0.394,0.48
66,Andrew Heaney,571760,CS,29,0.063,72.5,0.138,0.483,0.448,0.5
67,Andrew Heaney,571760,CU,31,0.068,78.9,0.097,0.645,0.226,0.25
68,Andrew Heaney,571760,FF,201,0.439,90.0,0.119,0.547,0.308,0.31
69,Andrew Heaney,571760,SI,37,0.081,89.7,0.135,0.541,0.243,0.375
70,Andrew Heaney,571760,SL,61,0.133,79.9,0.197,0.443,0.377,0.727
71,Angel Chivilli,683409,CH,97,0.408,88.5,0.216,0.381,0.485,0.615
72,Angel Chivilli,683409,FF,116,0.487,96.7,0.086,0.431,0.336,0.667
73,Angel Chivilli,683409,SL,25,0.105,90.6,0.12,0.28,0.52,0.6
74,Angel Perdomo,622780,CH,3,0.042,90.3,0.0,1.0,0.0,
75,Angel Perdomo,622780,FF,48,0.667,92.6,0.104,0.417,0.417,0.625
76,Angel Perdomo,622780,SL,21,0.292,83.4,0.048,0.333,0.571,0.5
77,Angel Zerpa,672582,CH,5,0.027,89.8,0.0,0.0,0.4,0.333
78,Angel Zerpa,672582,FF,42,0.23,95.3,0.024,0.333,0.5,0.429
79,Angel Zerpa,672582,SI,70,0.383,95.8,0.029,0.457,0.343,0.857
80,Angel Zerpa,672582,SL,66,0.361,83.0,0.076,0.485,0.424,0.833
81,Anthony Banda,607455,FF,84,0.462,95.4,0.143,0.548,0.298,0.231
82,Anthony Banda,607455,SI,15,0.082,95.3,0.133,0.333,0.267,0.333
83,Anthony Banda,607455,SL,83,0.456,85.9,0.145,0.386,0.482,0.182
84,Anthony Bender,669622,CH,12,0.076,88.7,0.083,0.333,0.5,0.5
85,Anthony Bender,669622,FF,13,0.083,95.9,0.077,0.385,0.462,0.0
86,Anthony Bender,669622,SI,39,0.248,96.0,0.0,0.538,0.282,0.571
87,Anthony Bender,669622,SL,37,0.236,87.3,0.081,0.486,0.351,0.5
88,Anthony Bender,669622,ST,56,0.357,84.8,0.107,0.464,0.339,0.364
89,Anthony Veneziano,685107,CH,15,0.068,87.3,0.0,0.067,0.867,0.0
90,Anthony Veneziano,685107,FF,88,0.402,94.3,0.091,0.534,0.295,0.667
91,Anthony Veneziano,685107,SL,73,0.333,86.5,0.137,0.411,0.411,0.538
92,Anthony Veneziano,685107,ST,42,0.192,82.2,0.071,0.429,0.31,0.545
93,Antonio Senzatela,622608,CH,60,0.116,86.6,0.167,0.317,0.417,0.375
94,Antonio Senzatela,622608,CU,27,0.052,79.3,0.074,0.148,0.593,0.429
95,Antonio Senzatela,622608,FF,290,0.562,94.3,0.048,0.424,0.338,0.609
96,Antonio Senzatela,622608,SI,19,0.037,92.8,0.053,0.263,0.421,0.5
97,Antonio Senzatela,622608,SL,120,0.233,86.4,0.117,0.467,0.367,0.5
98,Aroldis Chapman,547973,FF,100,0.625,98.4,0.18,0.56,0.3,0.286
99,Aroldis Chapman,547973,FS,12,0.075,91.5,0.25,0.583,0.167,0.667
