,BatterName,batter,PA_flag,AB,IsHit,PitchesThrown,SwungOn,ContactMade,IsStrikeout,IsWalk,IsHBP,IsBIP,IsGB,IsLD,IsFB,IsSingle,IsDouble,IsTriple,IsHomer,Cont%,Swing%,K%,BB%,AVG,OBP,SLG,Split,Statcast PC,Statcast BBE,GB%,LD%,FB%,SwtSpot%,Chase%,EV 90
0,A.J. Ewing,805999,298,249,57,1206,504,356,86,45,2,166,63,32,50,40,10,2,5,0.7063492063492064,0.417910447761194,0.28859060402684567,0.15100671140939598,0.2289156626506024,0.348993288590604,0.3453815261044177,All,1016.0,152.0,0.4144736842105263,0.21052631578947367,0.32894736842105265,0.3881578947368421,0.20363636363636364,102.15
1,A.J. Shaver,692224,75,67,7,281,129,80,32,5,2,36,15,6,11,5,0,0,2,0.6201550387596899,0.45907473309608543,0.4266666666666667,0.06666666666666667,0.1044776119402985,0.18666666666666668,0.19402985074626866,All,281.0,36.0,0.4166666666666667,0.16666666666666666,0.3055555555555556,0.3055555555555556,0.3221476510067114,104.28
2,A.J. Vukovich,691021,521,466,126,2147,1044,713,156,48,4,314,3,2,1,77,29,3,17,0.6829501915708812,0.4862598975314392,0.29942418426103645,0.09213051823416507,0.2703862660944206,0.3416506717850288,0.45493562231759654,All,41.0,7.0,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.47058823529411764,101.86
3,AJ Lewis,674630,130,111,26,510,218,160,32,15,3,80,10,15,4,17,9,0,0,0.7339449541284404,0.42745098039215684,0.24615384615384617,0.11538461538461539,0.23423423423423423,0.3384615384615385,0.3153153153153153,All,163.0,31.0,0.3225806451612903,0.4838709677419355,0.12903225806451613,0.5806451612903226,0.21176470588235294,99.7
4,Aaron Bracho,677570,404,358,79,1607,782,619,80,35,5,284,0,0,0,55,14,2,8,0.7915601023017903,0.4866210329807094,0.19801980198019803,0.08663366336633663,0.2206703910614525,0.29455445544554454,0.33798882681564246,All,,,,,,,,
5,Aaron McKeithan,702463,191,163,43,718,310,254,30,17,8,136,0,0,0,36,5,1,1,0.8193548387096774,0.43175487465181056,0.15706806282722513,0.08900523560209424,0.26380368098159507,0.35602094240837695,0.32515337423312884,All,,,,,,,,
6,Aaron Palensky,695312,209,172,34,830,351,251,47,30,4,129,1,2,3,24,9,0,1,0.7150997150997151,0.42289156626506025,0.22488038277511962,0.14354066985645933,0.19767441860465115,0.3253588516746411,0.26744186046511625,All,63.0,8.0,0.125,0.25,0.375,0.25,0.4375,95.32000000000001
7,Aaron Parker,801590,100,81,19,386,133,88,27,17,2,54,21,9,12,6,8,0,5,0.6616541353383458,0.344559585492228,0.27,0.17,0.2345679012345679,0.38,0.5185185185185185,All,314.0,43.0,0.4883720930232558,0.20930232558139536,0.27906976744186046,0.2558139534883721,0.17142857142857143,107.84
8,Aaron Sabato,693306,371,320,64,1455,647,419,112,47,5,209,3,0,2,40,14,0,10,0.6476043276661515,0.4446735395189003,0.3018867924528302,0.12668463611859837,0.2,0.31266846361185985,0.3375,All,111.0,6.0,0.5,0.0,0.3333333333333333,0.0,0.11267605633802817,102.05
9,Aaron Schunk,668845,299,275,80,988,555,428,53,19,2,225,87,61,63,47,24,2,7,0.7711711711711712,0.5617408906882592,0.17725752508361203,0.06354515050167224,0.2909090909090909,0.3377926421404682,0.4690909090909091,All,988.0,225.0,0.38666666666666666,0.27111111111111114,0.28,0.38222222222222224,0.37037037037037035,101.92
10,Aaron Shackelford,687823,94,88,19,405,221,149,34,2,3,55,0,0,0,11,3,1,4,0.6742081447963801,0.5456790123456791,0.3617021276595745,0.02127659574468085,0.2159090909090909,0.2553191489361702,0.4090909090909091,All,,,,,,,,
11,Aaron Zavala,701648,497,416,93,1947,897,650,139,62,9,287,0,0,0,70,17,1,5,0.7246376811594203,0.46070878274268107,0.2796780684104628,0.12474849094567404,0.22355769230769232,0.3299798792756539,0.30528846153846156,All,,,,,,,,
12,Abel Bastidas,694201,35,32,5,131,74,48,11,1,1,22,10,6,3,3,2,0,0,0.6486486486486487,0.5648854961832062,0.3142857142857143,0.02857142857142857,0.15625,0.2,0.21875,All,131.0,22.0,0.45454545454545453,0.2727272727272727,0.13636363636363635,0.45454545454545453,0.3561643835616438,100.0
13,Abimelec Ortiz,694673,476,419,102,1901,902,679,104,51,4,318,0,0,0,61,21,2,18,0.7527716186252772,0.4744871120462914,0.2184873949579832,0.10714285714285714,0.24343675417661098,0.32983193277310924,0.431980906921241,All,,,,,,,,
14,Abraham Toro,647351,17,16,3,65,29,26,3,1,0,13,9,1,2,3,0,0,0,0.896551724137931,0.4461538461538462,0.17647058823529413,0.058823529411764705,0.1875,0.23529411764705882,0.1875,All,65.0,13.0,0.6923076923076923,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.2857142857142857,100.56
15,Abrahan Gutierrez,670868,190,180,43,637,314,264,31,9,1,150,2,1,4,32,10,1,0,0.8407643312101911,0.49293563579277866,0.1631578947368421,0.04736842105263158,0.2388888888888889,0.2789473684210526,0.3055555555555556,All,32.0,7.0,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.3684210526315789,99.42
16,Adael Amador,691182,453,383,88,1796,772,628,88,62,5,298,0,0,0,61,12,1,14,0.8134715025906736,0.4298440979955457,0.19426048565121412,0.1368653421633554,0.2297650130548303,0.34216335540838855,0.37597911227154046,All,,,,,,,,
17,Adam Frazier,624428,4,4,0,12,5,3,1,0,0,3,0,0,0,0,0,0,0,0.6,0.4166666666666667,0.25,0.0,0.0,0.0,0.0,All,,,,,,,,
18,Adam Hackenberg,680753,278,240,49,1207,524,361,108,32,4,134,46,18,13,41,7,0,1,0.6889312977099237,0.43413421706710853,0.38848920863309355,0.11510791366906475,0.20416666666666666,0.3057553956834532,0.24583333333333332,All,821.0,79.0,0.5822784810126582,0.22784810126582278,0.16455696202531644,0.34177215189873417,0.2817551963048499,100.76
19,Adam Hall,647228,207,172,45,753,337,253,51,24,10,123,0,0,0,42,3,0,0,0.7507418397626113,0.44754316069057104,0.2463768115942029,0.11594202898550725,0.2616279069767442,0.38164251207729466,0.27906976744186046,All,,,,,,,,
20,Adam Retzbach,806273,313,258,46,1298,565,313,119,45,5,144,0,0,0,26,9,4,7,0.5539823008849557,0.4352850539291217,0.3801916932907348,0.14376996805111822,0.17829457364341086,0.30670926517571884,0.32558139534883723,All,,,,,,,,
21,Adam Zebrowski,700845,428,378,83,1629,784,552,114,41,7,268,0,0,0,59,11,3,10,0.7040816326530612,0.4812768569674647,0.26635514018691586,0.09579439252336448,0.21957671957671956,0.3060747663551402,0.3439153439153439,All,,,,,,,,
22,Adari Grant,699020,110,98,15,414,206,135,37,8,5,61,15,14,9,11,3,0,1,0.6553398058252428,0.4975845410628019,0.33636363636363636,0.07272727272727272,0.15306122448979592,0.2545454545454545,0.21428571428571427,All,334.0,44.0,0.3409090909090909,0.3181818181818182,0.20454545454545456,0.36363636363636365,0.3333333333333333,95.42
23,Addison Barger,680718,249,204,53,1062,418,332,48,40,4,157,60,53,31,29,15,0,9,0.7942583732057417,0.3935969868173258,0.1927710843373494,0.1606425702811245,0.25980392156862747,0.3895582329317269,0.46568627450980393,All,1062.0,157.0,0.3821656050955414,0.3375796178343949,0.19745222929936307,0.445859872611465,0.24662162162162163,106.56
24,Addison Kopack,688551,46,43,6,199,90,53,22,3,0,21,1,1,0,4,2,0,0,0.5888888888888889,0.45226130653266333,0.4782608695652174,0.06521739130434782,0.13953488372093023,0.1956521739130435,0.18604651162790697,All,22.0,2.0,0.5,0.5,0.0,0.5,0.375,91.2
25,Adrian De Leon,700369,298,231,48,1198,448,297,79,51,15,155,0,0,0,32,11,0,5,0.6629464285714286,0.3739565943238731,0.2651006711409396,0.17114093959731544,0.2077922077922078,0.3825503355704698,0.3203463203463203,All,,,,,,,,
26,Adrian Del Castillo,680728,468,413,129,1767,798,623,80,49,5,334,115,97,94,64,36,3,26,0.7807017543859649,0.45161290322580644,0.17094017094017094,0.1047008547008547,0.31234866828087166,0.391025641025641,0.6029055690072639,All,1767.0,334.0,0.344311377245509,0.2904191616766467,0.281437125748503,0.39520958083832336,0.2582010582010582,105.3
27,Adrian Meza,807977,37,35,6,129,62,54,9,2,0,26,14,6,4,5,1,0,0,0.8709677419354839,0.4806201550387597,0.24324324324324326,0.05405405405405406,0.17142857142857143,0.21621621621621623,0.2,All,129.0,26.0,0.5384615384615384,0.23076923076923078,0.15384615384615385,0.19230769230769232,0.3220338983050847,90.3
28,Adrian Pinto,691437,95,87,26,341,168,122,15,5,2,73,2,1,0,14,8,1,3,0.7261904761904762,0.49266862170087977,0.15789473684210525,0.05263157894736842,0.2988505747126437,0.3473684210526316,0.5172413793103449,All,13.0,3.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.2,84.28
29,Adrian Placencia,691269,464,372,87,1916,806,500,148,77,11,230,0,0,0,54,17,4,12,0.6203473945409429,0.42066805845511485,0.31896551724137934,0.16594827586206898,0.23387096774193547,0.3771551724137931,0.3978494623655914,All,,,,,,,,
30,Adrian Santana,803745,455,417,100,1564,801,648,72,34,2,347,0,0,0,76,21,3,0,0.8089887640449438,0.5121483375959079,0.15824175824175823,0.07472527472527472,0.23980815347721823,0.2989010989010989,0.30455635491606714,All,,,,,,,,
31,Adrián Sugastey,692368,190,181,38,661,386,301,38,4,3,145,0,0,0,25,10,2,1,0.7797927461139896,0.583963691376702,0.2,0.021052631578947368,0.20994475138121546,0.23684210526315788,0.30386740331491713,All,,,,,,,,
32,Aeverson Arteaga,692348,94,82,15,370,157,110,26,12,0,56,0,0,0,11,3,1,0,0.7006369426751592,0.4243243243243243,0.2765957446808511,0.1276595744680851,0.18292682926829268,0.2872340425531915,0.24390243902439024,All,,,,,,,,
33,Agustin Ramirez,682663,546,475,127,2064,955,737,101,62,8,377,99,33,38,74,26,2,25,0.7717277486910995,0.4626937984496124,0.184981684981685,0.11355311355311355,0.2673684210526316,0.3608058608058608,0.4884210526315789,All,1107.0,190.0,0.5210526315789473,0.1736842105263158,0.2,0.2631578947368421,0.260797342192691,106.96000000000001
34,Agustin Ruiz,672361,307,264,58,1266,542,418,68,32,10,199,0,0,0,33,17,2,6,0.7712177121771218,0.42812006319115326,0.22149837133550487,0.10423452768729642,0.2196969696969697,0.3257328990228013,0.36742424242424243,All,,,,,,,,
35,Ahbram Liendo,699157,431,377,74,1731,652,439,162,49,2,218,0,0,0,61,7,3,3,0.6733128834355828,0.37666088965915656,0.37587006960556846,0.1136890951276102,0.1962864721485411,0.2900232018561485,0.2546419098143236,All,,,,,,,,
36,Aidan Longwell,815067,283,240,75,1056,508,422,38,33,7,206,0,0,0,58,11,2,4,0.8307086614173228,0.4810606060606061,0.13427561837455831,0.1166077738515901,0.3125,0.40636042402826855,0.425,All,,,,,,,,
37,Aidan Miller,805795,459,391,103,1826,754,583,99,58,10,293,49,23,26,58,28,6,11,0.773209549071618,0.4129244249726177,0.21568627450980393,0.12636165577342048,0.26342710997442453,0.37254901960784315,0.45012787723785164,All,727.0,111.0,0.44144144144144143,0.2072072072072072,0.23423423423423423,0.27927927927927926,0.19786096256684493,106.57
38,Aidan Smith,806223,444,369,106,1673,743,547,104,64,8,269,0,0,0,61,33,1,11,0.7362045760430687,0.44411237298266587,0.23423423423423423,0.14414414414414414,0.2872628726287263,0.4009009009009009,0.4715447154471545,All,,,,,,,,
39,Akil Baddoo,668731,377,324,77,1472,646,452,102,47,3,225,78,61,59,42,21,5,9,0.6996904024767802,0.4388586956521739,0.27055702917771884,0.1246684350132626,0.23765432098765432,0.33687002652519893,0.4166666666666667,All,1472.0,225.0,0.3466666666666667,0.27111111111111114,0.26222222222222225,0.3466666666666667,0.25492772667542707,104.77
